year,player_name,team_name,class_year,position,pa,adj_obp,slg,adj_slg,index
2015,"Uhl, Ryan",Indiana (PA),Sr,OF,180,0.449,1.085,0.904,1.801
2015,"Sell, Nick",Seton Hill,Sr,INF,223,0.441,1.032,0.852,1.734
2015,"Eads, Taylor",Spring Hill,Sr,OF,164,0.498,0.846,0.664,1.660
2015,"Tice, Dylan",West Chester,Sr,INF,188,0.459,0.827,0.693,1.612
2015,"Cuthrell, Collins",UNC Pembroke,Sr,3B,245,0.432,0.904,0.747,1.610
2015,"Rainey, Tanner",West Ala.,Sr,INF,209,0.431,0.842,0.730,1.592
2015,"Wilson, Matt",Shepherd,Sr,OF,207,0.458,0.779,0.637,1.553
2015,"Baur, Albert",Newberry,Sr,INF,243,0.426,0.796,0.659,1.511
2015,"Simbeck, Colton",Ala.-Huntsville,Sr,OF,151,0.381,0.894,0.746,1.508
2015,"Rubino, Matt",Francis Marion,Sr,C,215,0.436,0.713,0.597,1.470
2015,"Young, Kamran",Cal St. Dom. Hills,Sr,OF,225,0.435,0.697,0.588,1.457
2015,"Urbania, Adam",Slippery Rock,Sr,OF,199,0.420,0.736,0.609,1.449
2015,"Tracy, Chandler",Saint Martin's,Sr,C,196,0.421,0.717,0.604,1.446
2015,"Long, Dean",Emporia St.,Sr,INF,247,0.382,0.794,0.657,1.420
2015,"Peters, Matt",California (PA),Sr,INF,180,0.428,0.675,0.560,1.416
2015,"Czarnecki, Kevin",Fort Hays St.,Sr,INF,198,0.404,0.737,0.602,1.411
2015,"Castleberry, Patrick",Arkansas Tech,Sr,C,209,0.409,0.699,0.592,1.411
2015,"Mock, Austin",Indiana (PA),Sr,INF,184,0.389,0.756,0.630,1.408
2015,"Lawing, Weston",Lander,Sr,OF,169,0.425,0.650,0.550,1.400
2015,"Montville, Mike",Southern N.H.,Sr,OF,165,0.433,0.625,0.526,1.392
2015,"Spitz, Thomas",Wingate,Sr,OF,279,0.395,0.705,0.589,1.380
2015,"Brock, Chandler",Ala.-Huntsville,Sr,OF,207,0.415,0.649,0.541,1.372
2015,"Wolfe, Spencer",Shepherd,Sr,C,193,0.394,0.708,0.579,1.367
2015,"Spini, Nick",East Central,Sr,OF,153,0.429,0.600,0.504,1.362
2015,"Dezzi, Stephen",Tampa,Sr,OF,199,0.406,0.652,0.549,1.362
2015,"Tewes, Luke",Drury,Sr,INF,239,0.408,0.643,0.546,1.362
2015,"Jurgella, Mike",St. Cloud St.,Sr,C,239,0.398,0.690,0.565,1.361
2015,"Haskins, Matthew",Montevallo,Sr,OF,224,0.433,0.588,0.491,1.357
2015,"Brodbeck, Andrew",Flagler,Sr,INF,223,0.432,0.582,0.492,1.355
2015,"Stubbs, Austin",Southwest Minn. St.,Sr,1B,206,0.372,0.746,0.607,1.351
2015,"Rothermich, Wade",Lindenwood (MO),Sr,P,222,0.396,0.660,0.557,1.348
2015,"Waletich, Max",Minn. St. Mankato,Sr,INF,187,0.406,0.656,0.535,1.346
2015,"James, Stephen",Ashland,Sr,2B,244,0.385,0.693,0.576,1.345
2015,"Sandlin, Jake",Georgia College,Sr,INF,250,0.379,0.701,0.587,1.344
2015,"Goines, Sam",Wilmington (DE),Sr,OF,217,0.422,0.590,0.487,1.331
2015,"Rodriguez, Vinny",Montevallo,Sr,OF,205,0.408,0.615,0.514,1.329
2015,"Kreiling, Andrew",Pittsburg St.,Sr,OF,195,0.395,0.656,0.538,1.329
2015,"Bielec, Kasey",Central Wash.,Sr,INF,200,0.411,0.608,0.504,1.326
