year,player_name,team_name,class_year,position,p_gs,ip,so,bb,outs,adj_so9,adj_bb9,index
2015,"Halstead, Ryan",Indiana,Sr,P,0,40.0,51,5,120,11.25,0.98,24.03
2015,"Friedrichs, Kyle",Long Beach St.,Sr,P,15,100.0,109,12,300,9.21,0.98,19.89
2015,"Hibbing, Nick",Iowa,Sr,P,0,41.1,35,2,124,7.07,0.00,18.27
2015,"Ramsey, Jordan",UNCW,Sr,P,0,45.0,60,10,135,12.12,1.98,16.58
2015,"Taylor, Ben",South Ala.,Sr,P,0,42.2,68,13,128,14.10,1.99,16.50
2015,"Poyner, Bobby",Florida,Sr,P,1,52.1,50,6,157,8.25,0.97,16.07
2015,"Ohanian, Sarkis",Duke,Sr,P,1,45.2,62,11,137,12.21,1.97,15.98
2015,"Berg, David",UCLA,Sr,P,0,61.2,56,7,185,8.23,0.97,14.97
2015,"Peitzmeier, Tyler",Cal St. Fullerton,Sr,P,1,44.1,48,8,133,9.20,0.98,14.00
2015,"Love, Reid",East Carolina,Sr,P,46,88.2,77,10,266,7.09,0.99,13.40
2015,"Thurber, Taylor",Appalachian St.,Sr,P,11,95.2,73,8,287,6.05,0.00,13.22
2015,"Belicek, Trevor",A&M-Corpus Chris,Sr,P,12,87.2,111,22,263,10.89,2.02,11.46
2015,"Robinett, Alex",Army,Sr,P,11,80.2,92,16,242,9.62,1.04,11.17
2015,"Stephens, Jordan",Rice,Sr,P,9,52.1,67,14,157,11.21,1.96,11.11
2015,"Macaluso, Eddie",Iona,Sr,P,14,83.1,89,16,250,8.74,1.03,9.71
2015,"Gracia, Andres",Samford,Sr,P,0,35.2,42,9,107,10.13,1.97,9.69
2015,"Hager, Michael",Pacific,Sr,P,0,42.1,48,10,127,10.11,1.98,9.55
2015,"Harrison, Luke",Indiana,Sr,P,2,48.0,58,13,144,10.23,1.95,9.28
2015,"Kalish, Jake",George Mason,Sr,P,43,83.2,77,14,251,7.88,1.02,8.41
2015,"Maton, Phil",Louisiana Tech,Sr,P,14,88.0,90,19,264,9.07,0.99,8.34
2015,"Lyons, Jared",Liberty,Sr,P,13,99.2,100,22,299,9.06,0.99,8.29
2015,"McAfee, Brian",Cornell,Sr,P,9,56.0,38,6,168,5.84,0.00,8.28
2015,"Long, Travis",Campbell,Sr,P,5,41.1,42,9,124,9.00,1.00,8.01
2015,"Stoops, Dylan",Richmond,Sr,P,9,71.0,75,15,213,8.80,1.02,7.94
2015,"Heiligenstadt, Erik",Gardner-Webb,Sr,P,13,85.1,65,12,256,5.96,1.01,7.81
2015,"Henry, Chase",Col. of Charleston,Sr,P,0,34.0,36,8,102,9.08,1.98,7.46
2015,"Logan, Bo",Fla. Atlantic,Sr,P,0,33.2,31,7,101,8.17,0.98,6.89
2015,"Teakell, Trey",TCU,Sr,P,0,39.1,36,8,118,8.15,0.98,6.78
2015,"Bisacca, Alex",Sam Houston St.,Sr,P,2,69.0,57,12,207,6.94,1.01,6.69
2015,"Fraudin, Matt",Gardner-Webb,Sr,P,13,87.2,109,26,263,10.93,2.01,6.64
2015,"Lauria, Joey",UNLV,Sr,P,2,52.0,60,15,156,10.11,1.98,6.63
2015,"Mamer, Luke",Wright St.,Sr,P,12,72.2,50,10,218,6.06,0.99,6.31
2015,"Cross, Carson",UConn,Sr,P,15,106.0,108,25,318,9.02,1.99,6.13
2015,"Quintana, Matt",Siena,Sr,P,4,59.2,64,14,179,8.81,2.04,5.95
2015,"Beeker, Clark",Davidson,Sr,P,15,95.1,73,15,286,5.96,1.01,5.78
2015,"Istler, Andrew",Duke,Sr,P,14,86.1,82,20,259,8.14,1.97,5.77
2015,"Morrison, Preston",TCU,Sr,P,14,95.2,71,17,287,6.11,0.98,5.65
2015,"Murray, Donny",Holy Cross,Sr,P,13,66.2,46,9,200,5.89,1.02,5.43
2015,"Glazer, Brandon",Col. of Charleston,Sr,OF,12,80.2,46,9,242,5.05,0.99,5.24
2015,"Moreno, Dominic",Texas Tech,Sr,P,2,58.1,73,19,175,11.20,1.96,5.14
2015,"Moss, Benton",North Carolina,Sr,P,13,68.0,66,17,204,8.19,1.95,5.13
2015,"Jones, Curtis",Houston Baptist,Sr,INF,53,88.0,58,12,264,5.00,1.00,5.02
2015,"Bowers, Heath",Campbell,Sr,P,15,93.0,90,22,279,8.00,2.00,5.01
2015,"Howie, Jojo",VCU,Sr,P,15,97.2,76,18,293,6.95,1.01,4.72
2015,"Weathersby, Scott",Ole Miss,Sr,P,4,55.0,51,14,165,8.29,1.93,4.68
2015,"Zandona, Danny",Cal Poly,Sr,P,0,39.2,63,17,119,14.12,2.98,4.66
2015,"Zuniga, Keith",Bethune-Cookman,Sr,P,13,86.0,58,13,258,5.93,1.01,4.66
2015,"Kubat, Kyle",Nebraska,Sr,P,15,94.0,63,15,282,6.11,0.98,4.57
2015,"Cecilio, Christian",San Francisco,Sr,P,14,109.2,91,22,329,7.08,0.99,4.44
2015,"Ludwig, Dan",Belmont,Sr,P,15,95.1,80,20,286,7.07,0.99,4.37
2015,"Johnson, Drasen",Illinois,Sr,P,15,107.2,71,16,323,5.06,0.99,4.34
2015,"Keller, Kyle",Southeastern La.,Sr,P,3,36.0,40,10,108,9.84,2.03,4.14
2015,"Freeman, Michael",Oklahoma St.,Sr,P,15,102.2,92,25,308,8.20,1.95,4.11
2015,"Hough, Bryson",Bucknell,Sr,P,11,72.1,46,10,217,4.84,1.03,4.08
2015,"McDavid, Jacob",Oral Roberts,Sr,P,0,33.2,26,6,101,5.99,1.00,3.92
2015,"VanSickle, Dan",North Florida,Sr,P,2,41.0,29,7,123,5.98,1.00,3.87
2015,"Curran, Jeffrey",Oklahoma,Sr,P,6,38.0,27,7,114,6.13,0.98,3.72
2015,"Shelley, Travis",Winthrop,Sr,P,0,54.2,46,11,164,6.94,1.01,3.67
2015,"Battaglia, Anthony",Wagner,Sr,P,0,35.0,26,6,105,5.77,1.04,3.63
2015,"Nesselt, Jimmy",East Tenn. St.,Sr,P,16,94.1,107,29,283,10.08,1.98,3.43
2015,"Longville, David",Houston,Sr,P,10,55.0,25,6,165,4.07,0.00,3.35
2015,"Suarez, Andrew",Miami (FL),Sr,P,12,67.0,65,18,201,8.18,1.96,3.13
2015,"Jacobson, Raul",UC Davis,Sr,P,15,95.2,69,18,287,6.02,1.00,3.12
2015,"Thompkins, Coley",Campbell,Sr,P,1,43.0,28,7,129,5.00,1.00,3.00
2015,"Sheets, Kevin",Abilene Christian,Sr,P,1,37.1,38,10,112,8.99,2.00,2.92
2015,"Dempsey, Trace",Ohio St.,Sr,P,0,34.1,32,9,103,8.13,1.97,2.80
2015,"Leitao, Brennan",Sacramento St.,Sr,P,15,94.0,55,13,282,4.95,1.01,2.72
2015,"Lees, Matt",VCU,Sr,P,0,52.0,50,13,156,7.94,2.02,2.64
2015,"Stone, Eric",Boston College,Sr,P,6,34.0,29,8,102,7.09,1.97,2.58
2015,"Keel, Jerry",CSUN,Sr,P,14,91.1,80,22,274,7.06,1.98,2.39
2015,"Mehring, Dane",Chicago St.,Sr,P,2,49.2,36,9,149,5.89,1.02,2.37
2015,"Wade, Derek",Lamar,Sr,P,0,35.1,37,10,106,8.86,2.03,2.14
2015,"Kelley, Trevor",North Carolina,Sr,P,0,77.2,71,20,233,8.19,1.95,2.11
2015,"Wade, Mitchell",Mercer,Sr,P,0,38.2,29,8,116,6.02,1.00,2.10
2015,"Farina, Alex",Lafayette,Sr,P,0,37.0,31,8,111,6.83,1.02,1.99
2015,"Altimont, Thomas",Abilene Christian,Sr,P,14,88.0,82,23,264,7.99,2.00,1.93
