name,team,cl,ip,so,bb,outs,adj_so9,adj_bb9,index,gofo
"Ingram, Tim",Old Westbury,Sr,69.1,92,20,208,7.92,2.78,-9.53,3.435
"Hungerford, Eric",Gettysburg,Sr,59.0,51,11,177,5.18,1.35,-4.58,2.700
"Schiltz, Bennett",Frostburg St.,Sr,82.2,64,24,248,4.56,2.63,-19.05,2.659
"Sullivan, Joe",Me.-Farmington,Sr,51.1,39,19,154,4.25,4.24,-32.48,2.419
"Landry, Taylor",WPI,Sr,52.1,44,13,157,5.12,2.73,-13.95,2.400
"Schulman, Josh",Rochester (NY),Sr,56.0,47,29,168,5.15,5.44,-46.38,2.355
"Pheland, Kyle",Salve Regina,Sr,50.2,24,21,152,2.93,4.10,-41.76,2.343
"Freeman, Matt",St. Norbert,Sr,60.1,52,21,181,5.19,4.04,-24.72,2.333
"Howard, Josh",Methodist,Sr,87.1,70,25,262,5.26,2.66,-17.49,2.320
"Olesen, Caleb",Old Westbury,Sr,53.0,38,18,159,4.32,4.17,-28.00,2.303
"Behme, Isaac",Webster,Sr,78.1,74,22,235,6.07,2.64,-13.98,2.279
"Alberhasky, Connor",Coe,Sr,82.1,67,31,247,5.20,4.04,-28.78,2.222
"England, Jason",Hardin-Simmons,Sr,73.0,47,25,219,3.75,4.00,-27.22,2.213
"Johnstone, Kevin",Case,Sr,67.0,49,13,201,4.59,1.31,-7.66,2.182
"Haddeland, Chris",Linfield,Sr,109.1,64,20,328,3.81,1.31,-9.53,2.147
"Sharkey, Ryan",Rowan,Sr,69.1,48,15,208,4.62,1.30,-10.79,2.125
"Miller, Brandon",Lynchburg,Sr,56.1,30,8,169,2.98,1.34,-5.65,2.122
"Hoffman, Peter",Willamette,Sr,68.2,63,17,206,5.98,2.68,-11.49,2.119
"Rule, Jake",Westminster (MO),Sr,47.1,24,4,142,2.92,0.00,-0.12,2.028
"Deighan, Cory",Pitt.-Greensburg,Sr,60.0,45,34,180,4.38,6.84,-55.17,2.026
"Vargues, Mike",Plattsburgh St.,Sr,45.2,24,15,137,2.99,2.67,-28.27,2.000
"Robers, Tyler",Carroll (WI),Sr,52.2,43,15,158,5.14,2.72,-17.87,1.971
"Enterlin, Jacob",Johns Hopkins,Sr,74.0,61,8,222,5.24,0.00,4.46,1.961
"Richards, Andrew",Southern Me.,Sr,114.1,108,19,343,5.99,1.34,0.04,1.945
"Cox, Cameron",Concordia (TX),Sr,92.0,83,25,276,5.97,2.68,-14.29,1.934
"Hube, Nate",Earlham,Sr,58.2,37,34,176,3.81,6.55,-55.20,1.930
"Carroll, R.J.",Rose-Hulman,Sr,66.1,44,18,199,3.83,2.61,-18.33,1.918
"Debernardis, Tom",Cazenovia,Sr,48.1,34,27,145,4.24,7.07,-57.94,1.917
"Manner, Adam",Heidelberg,Sr,84.0,46,22,252,3.05,2.62,-19.47,1.894
"Meeken, Dan",St. Joseph's (ME),Sr,55.1,54,15,166,5.82,2.75,-14.11,1.889
"Daniels, Josh",Carthage,Sr,48.2,33,34,146,4.55,7.91,-68.03,1.889
"Olson, Connor",Northwestern-St. Paul,Sr,65.1,43,32,196,3.58,5.59,-49.38,1.870
"Carlisle, Adam",Millikin,Sr,43.0,21,17,129,2.99,4.01,-37.04,1.857
"Janik, Stephen",Saint Vincent,Sr,65.1,28,10,196,2.20,1.36,-9.64,1.852
"Treadway, Kyle",Pacific (OR),Sr,82.1,41,15,247,3.02,1.33,-11.42,1.851
"Koenig, Steve",Penn St.-Berks,Sr,58.1,26,9,175,2.89,1.39,-9.35,1.833
"Ethridge, Smokey",Millsaps,Sr,85.0,70,18,255,5.22,1.34,-9.05,1.820
"Adams, Tyler",Concordia Wisconsin,Sr,58.2,19,8,176,1.48,1.35,-10.28,1.796
"Dineen, Kevin",Carroll (WI),Sr,60.0,33,23,180,2.94,4.08,-36.00,1.796
"Perez, Paul",Baruch,Sr,51.2,34,9,155,3.69,1.36,-7.80,1.795
"Speer, Zack",Trinity (TX),Sr,78.2,73,20,236,6.02,2.66,-10.41,1.788
"Hart, Matt",Ill. Wesleyan,Sr,66.1,59,14,199,6.06,1.32,-5.61,1.783
"Bjorkgren, Jake",Buena Vista,Sr,59.2,37,7,179,3.70,1.35,-1.68,1.778
"Klaess, Kevin",Chapman,Sr,78.2,39,47,236,2.94,6.80,-62.58,1.758
"Paumen, Jaime",Wis. Lutheran,Sr,72.0,32,18,216,2.92,2.74,-21.36,1.750
"Cook, John",Amherst,Sr,60.0,52,16,180,5.28,2.65,-14.42,1.744
"Buckles, Ian",George Fox,Sr,88.2,65,17,266,4.57,1.31,-7.83,1.731
"Elias, Sam",Wesleyan (CT),Sr,76.1,66,15,229,5.26,1.33,-5.32,1.727
"Irgang, Michael",Benedictine (IL),Sr,58.1,38,12,175,3.73,1.34,-11.43,1.711
"Zorn, Joe",Bethel (MN),Sr,69.1,62,9,208,6.00,1.33,3.33,1.686
"Inman, Michael",Methodist,Sr,53.0,30,21,159,3.76,3.99,-35.31,1.667
"Schadrie, Nate",St. Norbert,Sr,51.2,22,9,155,2.23,1.35,-12.06,1.660
"Palmeri, Joe",Manhattanville,Sr,46.2,25,7,140,2.88,1.39,-8.00,1.659
"Gregory, Thaddaeus",Carleton,Sr,54.0,30,17,162,3.79,2.64,-25.55,1.646
"Iniguez, Javi",La Verne,Sr,97.2,64,15,293,3.73,1.34,-4.71,1.643
"Oberkofler, Max",Piedmont,Sr,60.2,30,28,182,3.02,5.30,-44.55,1.635
