name,team,cl,ip,so,bb,outs,adj_so9,adj_bb9,index,gofo
"Holshouser, Cameron",Roanoke,Sr,55.0,42,26,165,4.44,5.40,-41.91,1.614
"Peeden, Kristopher",Greensboro,Sr,58.1,24,30,175,2.25,5.33,-53.01,1.596
"Schuman, Logan",Northland,Sr,85.2,59,27,257,4.23,2.83,-26.99,1.592
"Oakes, Tanner",Augsburg,Sr,64.1,52,7,193,5.31,0.00,4.06,1.585
"Davis, Taylor",Averett,Sr,71.0,58,19,213,5.23,2.68,-15.71,1.564
"Ansett, Spencer",Whitworth,Sr,61.0,31,12,183,3.01,1.33,-12.84,1.554
"Rape, Trent",Trinity (TX),Sr,77.2,69,28,233,5.27,3.99,-25.20,1.552
"Goershel, Chris",Piedmont,Sr,63.1,49,31,190,4.53,5.30,-43.25,1.519
"Guzzi, Jeff",Elmhurst,Sr,54.0,30,14,162,3.72,2.69,-19.79,1.510
"Doring, Andrew",John Carroll,Sr,78.2,92,24,236,7.58,2.64,-12.09,1.509
"Schreyack, Andrew",St. Lawrence,Sr,49.1,27,22,148,2.93,5.47,-44.46,1.500
"Cutrone, Chris",St. Joseph's (Brkln),Sr,51.1,44,20,154,4.90,4.28,-33.84,1.500
"Carr, Andy",Central (IA),Sr,68.1,37,24,205,2.98,4.03,-31.18,1.500
"Jenkins, Justin",LeTourneau,Sr,101.1,91,18,304,5.98,1.34,-2.15,1.494
"Brankle, Matt",Earlham,Sr,61.1,62,14,184,6.87,2.62,-5.62,1.489
"McFarland, Jake",Centenary (LA),Sr,53.1,34,12,160,3.77,2.65,-13.72,1.489
"Desai, Josh",Suffolk,Sr,65.0,64,24,195,5.80,4.14,-26.65,1.479
"Love, Cody",Aurora,Sr,67.1,29,21,202,2.20,2.72,-30.04,1.462
"Tomich, Edward",Trine,Sr,54.2,32,6,164,3.68,0.00,-1.20,1.447
"Petrella, Nick",Skidmore,Sr,57.2,40,11,173,4.42,1.36,-9.85,1.440
"Bishop, Chris",Pacific Lutheran,Sr,88.2,78,37,266,5.33,3.94,-31.08,1.431
"Little, Austin",Eastern,Sr,55.0,30,23,165,2.95,4.07,-39.88,1.429
"Renz, Mitch",Centenary (NJ),Sr,49.1,25,8,148,2.94,1.36,-9.45,1.426
"Hotaling, Spencer",Susquehanna,Sr,51.2,40,13,155,4.46,2.69,-14.76,1.419
"Hoffmann, Jack",Coe,Sr,66.1,39,10,199,3.72,1.35,-6.33,1.414
"Alventosa, Luke",Swarthmore,Sr,46.1,24,14,139,2.95,2.71,-26.95,1.409
"Watson, Ryan",Utica,Sr,47.2,33,12,143,4.24,2.83,-18.45,1.395
"Van Daalwyk, Patrick",Ripon,Sr,63.0,40,18,189,3.74,2.68,-20.74,1.386
"Jensen, Jared",Rensselaer,Sr,61.0,46,12,183,4.50,1.33,-7.67,1.385
"Theisen, Justin",Elmhurst,Sr,59.2,55,31,179,5.95,5.38,-44.04,1.383
"Thomassen, Aaron",Linfield,Sr,82.1,59,16,247,4.58,1.31,-7.78,1.370
"Pennings, Matt",Simpson,Sr,59.0,39,12,177,3.73,1.34,-11.43,1.358
"Stennes, Kyle",Cornell College,Sr,57.2,36,18,173,3.69,2.71,-26.20,1.358
"Szatko, Stephen",Utica,Sr,63.2,47,13,191,4.24,1.42,-12.07,1.357
"Thielmann, Charles",Kean,Sr,92.2,73,30,278,5.31,2.64,-22.27,1.354
"Boettcher, Ryan",Lakeland,Sr,54.1,38,14,163,4.38,2.74,-18.34,1.327
"Zhang, Max",Washington-St. Louis,Sr,63.2,36,23,191,3.76,3.99,-31.30,1.323
"Beau, Mitch",Wis.-Stevens Point,Sr,91.1,62,41,274,4.60,5.22,-38.44,1.317
"Gregory, Austin",Roanoke,Sr,49.0,31,7,147,3.70,1.35,-3.62,1.311
"Barth, Robert",Widener,Sr,80.0,65,17,240,5.24,1.34,-9.66,1.310
"Sanders, Andrew",Ithaca,Sr,73.2,35,10,221,2.94,1.36,-7.47,1.307
"Mack, Cory",Whitworth,Sr,60.0,42,20,180,4.51,3.99,-26.37,1.304
"Kret, John",Merchant Marine,Sr,45.0,11,9,135,1.47,1.36,-20.15,1.300
"Hadjuk, Walt",La Roche,Sr,61.2,34,12,185,3.00,1.33,-12.14,1.279
