year,name,team,div,class_year,position,pa,obp,adj_obp,slg,adj_slg,index
2015,"George, Zach",Arkansas St.,D1,Sr,INF,317,0.549,0.565,0.553,0.569,1.698
2015,"Eads, Taylor",Spring Hill,D2,Sr,OF,164,0.634,0.498,0.846,0.664,1.660
2015,"Tice, Dylan",West Chester,D2,Sr,INF,188,0.548,0.459,0.827,0.693,1.611
2015,"Cuthrell, Collins",UNC Pembroke,D2,Sr,3B,245,0.522,0.432,0.904,0.747,1.610
2015,"Ferguson, Drew",Belmont,D1,Sr,OF,513,0.481,0.479,0.642,0.638,1.595
2015,"Byler, Austin",Nevada,D1,Sr,INF,531,0.469,0.469,0.637,0.638,1.576
2015,"Kaczmarski, Kevin",Evansville,D1,Sr,OF,464,0.463,0.473,0.614,0.626,1.571
2015,"Landon, Logan",Tex.-Pan American,D1,Sr,OF,226,0.478,0.473,0.623,0.617,1.563
2015,"Koenig, Sam",Milwaukee,D1,Sr,INF,271,0.458,0.455,0.657,0.653,1.562
2015,"Beaty, Matt",Belmont,D1,Sr,INF,434,0.475,0.472,0.623,0.619,1.562
2015,"Panas, Connor",Canisius,D1,Sr,INF,508,0.470,0.458,0.607,0.591,1.506
2015,"Ruchim, Kyle",Northwestern,D1,Sr,INF,176,0.420,0.436,0.585,0.606,1.477
2015,"Boehm, Jeff",Ill.-Chicago,D1,Sr,OF,431,0.443,0.437,0.609,0.602,1.476
2015,"Morman, Michael",Richmond,D1,Sr,OF,249,0.446,0.437,0.611,0.599,1.473
2015,"Jones, Casey",Elon,D1,Sr,INF,493,0.467,0.458,0.567,0.557,1.473
2015,"Rubino, Matt",Francis Marion,D2,Sr,C,215,0.521,0.436,0.713,0.597,1.470
2015,"Howell, Caleb",Eastern Ill.,D1,Sr,OF,475,0.499,0.492,0.488,0.481,1.466
2015,"Clement, Kyle",La.-Lafayette,D1,Sr,OF,221,0.412,0.418,0.612,0.621,1.456
2015,"Payne, Erik",Virginia Tech,D1,Sr,INF,247,0.449,0.454,0.536,0.542,1.451
2015,"Simbeck, Colton",Ala.-Huntsville,D2,Sr,OF,218,0.450,0.375,0.840,0.700,1.451
2015,"Bauml, Cole",Northern Ky.,D1,Sr,OF,381,0.412,0.415,0.613,0.617,1.447
2015,"Martin, Kyle",South Carolina,D1,Sr,1B,514,0.428,0.445,0.530,0.552,1.443
2015,"Orvis, Sikes",Ole Miss,D1,Sr,INF,515,0.400,0.422,0.567,0.599,1.442
2015,"Glines, Jackson",Michigan,D1,Sr,OF,518,0.452,0.467,0.488,0.505,1.438
2015,"Utterback, Andrew",Alabama A&M,D1,Sr,OF,448,0.475,0.454,0.555,0.530,1.438
2015,"Angelis, Spencer",High Point,D1,Sr,C,464,0.470,0.471,0.495,0.496,1.438
2015,"Mack, Quinnton",New Mexico St.,D1,Sr,OF,207,0.469,0.457,0.535,0.523,1.438
2015,"Korenblatt, Justin",La Salle,D1,Sr,OF,389,0.468,0.452,0.550,0.531,1.435
2015,"Wilson, Matt",Shepherd,D2,Sr,OF,368,0.541,0.442,0.671,0.549,1.433
2015,"Pierson, Michael",Appalachian St.,D1,Sr,INF,468,0.451,0.449,0.536,0.534,1.432
2015,"Uhl, Ryan",Indiana (PA),D2,Sr,OF,319,0.473,0.394,0.771,0.642,1.431
2015,"Tobias, Josh",Florida,D1,Sr,INF,336,0.423,0.439,0.523,0.544,1.421
2015,"Sell, Nick",Seton Hill,D2,Sr,INF,437,0.471,0.389,0.775,0.640,1.419
2015,"Sweeney, Kane",Morehead St.,D1,Sr,INF,565,0.458,0.438,0.565,0.539,1.414
2015,"Bosheers, Dylan",Tennessee Tech,D1,Sr,SS,511,0.444,0.428,0.576,0.555,1.410
2015,"Robinson, Dillon",BYU,D1,Sr,1B,396,0.442,0.446,0.513,0.517,1.408
2015,"Marshall, Patrick",Radford,D1,Sr,OF,465,0.439,0.436,0.536,0.532,1.404
2015,"Rawe, Brandon",Morehead St.,D1,Sr,OF,565,0.439,0.419,0.593,0.566,1.404
2015,"Biocic, PJ",Alabama St.,D1,Sr,SS,228,0.513,0.491,0.433,0.414,1.395
2015,"Weist, Mark",Michigan St.,D1,Sr,INF,254,0.413,0.426,0.526,0.542,1.394
2015,"Turbin, Drew",Dallas Baptist,D1,Sr,INF,444,0.446,0.455,0.473,0.483,1.392
2015,"Montville, Mike",Southern N.H.,D2,Sr,OF,165,0.515,0.433,0.625,0.526,1.392
2015,"Detmer, Tyler",Ill.-Chicago,D1,Sr,OF,469,0.450,0.444,0.508,0.501,1.389
2015,"Vallieres, Cedric",Texas St.,D1,Sr,INF,248,0.435,0.441,0.497,0.503,1.385
2015,"Lynch, Nick",UC Davis,D1,Sr,INF,445,0.413,0.432,0.499,0.521,1.385
2015,"Robinson, Chris",Morehead St.,D1,Sr,C,533,0.454,0.433,0.543,0.518,1.385
2015,"Rodriguez, Melvin",Jackson St.,D1,Sr,INF,491,0.466,0.439,0.537,0.506,1.384
2015,"Kerian, David",Illinois,D1,Sr,INF,454,0.423,0.427,0.525,0.530,1.384
2015,"Gunsolus, Mitchell",Gonzaga,D1,Sr,INF,494,0.437,0.453,0.462,0.478,1.384
2015,"De La Guerra, Chad",Grand Canyon,D1,Sr,INF,473,0.425,0.419,0.550,0.542,1.379
2015,"Sikes, Charles",Savannah St.,D1,Sr,1B,450,0.427,0.416,0.558,0.544,1.376
2015,"Kancylarz, Stefan",Saint Joseph's,D1,Sr,INF,424,0.436,0.432,0.517,0.512,1.376
2015,"Nunez, Julio",Alabama A&M,D1,Sr,SS,238,0.420,0.401,0.597,0.570,1.373
2015,"Hall, David",Troy,D1,Sr,OF,399,0.424,0.424,0.517,0.518,1.367
2015,"Davey, Blake",UConn,D1,Sr,OF,502,0.418,0.430,0.494,0.507,1.366
2015,"Nau, Mitchell",Texas A&M,D1,Sr,C,331,0.432,0.447,0.455,0.470,1.364
2015,"Tracy, Chandler",Saint Martin's,D2,Sr,C,369,0.474,0.399,0.671,0.565,1.364
2015,"Pacchioli, Justin",Lehigh,D1,Sr,OF,377,0.472,0.468,0.425,0.421,1.357
2015,"Peavey, Scotty",Alcorn,D1,Sr,OF,410,0.422,0.406,0.565,0.543,1.355
2015,"McRae, Cam",Presbyterian,D1,Sr,C,230,0.413,0.412,0.531,0.529,1.354
2015,"Estrada, Waldyvan",Alabama St.,D1,Sr,OF,469,0.448,0.428,0.521,0.498,1.354
2015,"Park, Jensen",Northern Colo.,D1,Sr,OF,350,0.420,0.402,0.573,0.549,1.353
2015,"Hayden, Brendon",Virginia Tech,D1,Sr,INF,481,0.405,0.410,0.521,0.527,1.347
2015,"James, Stephen",Ashland,D2,Sr,2B,244,0.463,0.385,0.693,0.576,1.345
2015,"Barber, Erik",UCF,D1,Sr,OF,490,0.404,0.419,0.488,0.506,1.343
2015,"Douglas, Taylor",UT Martin,D1,Sr,OF,436,0.408,0.397,0.564,0.548,1.342
2015,"Marconcini, Chris",Florida St.,D1,Sr,INF,172,0.424,0.438,0.450,0.464,1.341
2015,"Daniels, David",Davidson,D1,Sr,INF,461,0.414,0.408,0.533,0.525,1.340
2015,"Close, Alex",Liberty,D1,Sr,C,487,0.402,0.408,0.514,0.521,1.338
2015,"Moore, Dylan",UCF,D1,Sr,INF,540,0.407,0.422,0.477,0.494,1.338
2015,"Pallares, Steven",San Diego St.,D1,Sr,INF,429,0.427,0.432,0.467,0.473,1.337
2015,"Strong, Bradley",Western Caro.,D1,Sr,INF,505,0.408,0.392,0.575,0.553,1.337
2015,"Long, Dean",Emporia St.,D2,Sr,INF,504,0.456,0.377,0.705,0.583,1.337
2015,"Gardiner, Josh",Radford,D1,Sr,INF,445,0.438,0.435,0.468,0.465,1.335
2015,"Fowler, Mark",Wright St.,D1,Sr,OF,232,0.409,0.411,0.510,0.512,1.334
2015,"Wright, Aaron",UNC Greensboro,D1,Sr,INF,280,0.400,0.390,0.566,0.552,1.333
2015,"Teaf, Kyle",South Fla.,D1,Sr,INF,518,0.450,0.464,0.393,0.405,1.333
2015,"Enslen, Robby",Oakland,D1,Sr,OF,430,0.419,0.429,0.464,0.475,1.333
2015,"Gugliettei, Vincent",Quinnipiac,D1,Sr,INF,434,0.415,0.402,0.547,0.530,1.333
2015,"Duce, Tagg",Dallas Baptist,D1,Sr,OF,269,0.413,0.421,0.481,0.490,1.332
2015,"Bossart, Austin",Penn,D1,Sr,C,320,0.425,0.418,0.504,0.495,1.332
2015,"Portelli, Brian",FIU,D1,Sr,OF,369,0.407,0.414,0.493,0.501,1.329
2015,"Lowe, Ryan",Davidson,D1,Sr,INF,456,0.439,0.432,0.472,0.464,1.327
2015,"D.J., Ruhlman",Seton Hall,D1,Sr,P,380,0.424,0.427,0.467,0.472,1.326
2015,"Wolfe, Spencer",Shepherd,D2,Sr,C,392,0.480,0.392,0.660,0.540,1.324
2015,"Rainey, Tanner",West Ala.,D2,Sr,INF,401,0.441,0.383,0.645,0.559,1.324
2015,"Garlick, Kyle",Cal Poly Pomona,D2,Sr,OF,272,0.452,0.385,0.649,0.553,1.324
2015,"James, Derrian",Oral Roberts,D1,Sr,OF,229,0.410,0.413,0.492,0.496,1.323
2015,"Ardeeser, Clay",Georgia College,D2,Sr,INF,488,0.475,0.398,0.628,0.526,1.322
2015,"Heath, Scott",Maine,D1,Sr,P,406,0.414,0.408,0.511,0.504,1.321
2015,"Allemand, Blake",Texas A&M,D1,Sr,INF,497,0.427,0.441,0.424,0.438,1.321
2015,"Thomas, Jake",Binghamton,D1,Sr,OF,399,0.431,0.428,0.468,0.464,1.320
2015,"Scivicque, Kade",LSU,D1,Sr,C,426,0.390,0.403,0.496,0.513,1.319
2015,"Vasquez, James",UCF,D1,Sr,INF,497,0.402,0.417,0.466,0.483,1.317
2015,"Chavez, Matthew",N.M. Highlands,D2,Sr,INF,362,0.500,0.402,0.640,0.514,1.317
2015,"Mizell, Aaron",Ga. Southern,D1,Sr,OF,532,0.389,0.389,0.538,0.537,1.315
2015,"Dailey, Charles",Delaware St.,D1,Sr,OF,372,0.435,0.410,0.526,0.495,1.314
2015,"Reeves, John Clay",Rice,D1,Sr,C,464,0.399,0.417,0.457,0.478,1.313
2015,"Ferguson, Collin",St. Mary's (CA),D1,Sr,P,495,0.410,0.416,0.472,0.479,1.312
2015,"Wojciechowski, Ryan",Butler,D1,Sr,1B,217,0.410,0.408,0.497,0.495,1.311
2015,"Mock, Austin",Indiana (PA),D2,Sr,INF,323,0.458,0.382,0.657,0.547,1.311
2015,"Jones, Cody",TCU,D1,Sr,OF,556,0.430,0.447,0.400,0.416,1.311
2015,"Dezzi, Stephen",Tampa,D2,Sr,OF,426,0.465,0.392,0.626,0.527,1.311
2015,"Rockwell, Tanner",UALR,D1,Sr,P,450,0.402,0.408,0.487,0.495,1.311
2015,"Williams, Tommy",UCF,D1,Sr,INF,512,0.381,0.395,0.502,0.520,1.310
