year,name,team,div,class_year,position,pa,obp,adj_obp,slg,adj_slg,index
2015,"Vanisi, Andrew",Rogers St.,D2,Sr,OF,184,0.435,0.355,0.735,0.600,1.310
2015,"Ratledge, Logan",North Carolina St.,D1,Sr,INF,497,0.406,0.416,0.463,0.475,1.307
2015,"Tewes, Luke",Drury,D2,Sr,INF,445,0.463,0.393,0.613,0.520,1.306
2015,"Young, Kamran",Cal St. Dom. Hills,D2,Sr,OF,368,0.462,0.390,0.625,0.527,1.306
2015,"Walsh, Connor",Citadel,D1,Sr,INF,294,0.398,0.395,0.521,0.517,1.306
2015,"Jurgella, Mike",St. Cloud St.,D2,Sr,C,426,0.469,0.385,0.654,0.536,1.305
2015,"Polcyn, Michael",Ripon,D3,Sr,INF,355,0.513,0.369,0.785,0.566,1.304
2015,"Laurino, Steve",Marist,D1,Sr,INF,417,0.432,0.424,0.466,0.457,1.304
2015,"Nieman, Jordan",Manchester,D3,Sr,3B,195,0.503,0.367,0.782,0.570,1.303
2015,"Miller, Brody",Mont. St. Billings,D2,Sr,INF,446,0.480,0.393,0.631,0.517,1.302
2015,"Daughdrill, Chase",Northwestern St.,D1,Sr,INF,500,0.416,0.427,0.438,0.449,1.302
2015,"Sandlin, Jake",Georgia College,D2,Sr,INF,477,0.457,0.383,0.637,0.533,1.299
2015,"Kilmon, Ryan",Norfolk St.,D1,Sr,INF,150,0.447,0.417,0.496,0.463,1.298
2015,"Morrill, Luke",Maine,D1,Sr,INF,251,0.422,0.417,0.471,0.464,1.298
2015,"Krill, Ryan",Michigan St.,D1,Sr,1B,472,0.386,0.397,0.485,0.500,1.295
2015,"Meyer, Kewby",Nevada,D1,Sr,INF,525,0.389,0.389,0.516,0.516,1.294
2015,"Roberson, Ryan",North Florida,D1,Sr,1B,239,0.393,0.386,0.532,0.522,1.294
2015,"Craig, Gus",Columbia,D1,Sr,OF,375,0.376,0.377,0.540,0.541,1.294
2015,"Hayman, Bryant",Valdosta St.,D2,Sr,C,392,0.436,0.373,0.639,0.547,1.293
2015,"Goihl, Jack",Augustana (SD),D2,Sr,C,429,0.459,0.371,0.682,0.551,1.293
2015,"Kennedy, Garrett",Miami (FL),D1,Sr,C,366,0.410,0.421,0.439,0.451,1.293
2015,"Tarsovich, Jordan",VMI,D1,Sr,INF,445,0.411,0.401,0.504,0.491,1.293
2015,"King, Hunter",UNC Greensboro,D1,Sr,INF,437,0.405,0.395,0.513,0.500,1.291
2015,"Degner, Ryan",Mo. Western St.,D2,Sr,OF,433,0.443,0.369,0.664,0.553,1.291
2015,"Rivera, Cesar",Alabama St.,D1,Sr,OF,486,0.430,0.411,0.490,0.469,1.291
2015,"MacWilliam, Jake",Sam Houston St.,D1,Sr,INF,208,0.409,0.415,0.453,0.460,1.291
2015,"MacKenzie, Pat",Central Mich.,D1,Sr,INF,507,0.464,0.461,0.372,0.370,1.291
2015,"Dennard, R.J.",Armstrong,D2,Sr,C,444,0.486,0.400,0.595,0.489,1.290
2015,"Murray, A.J.",Georgia Tech,D1,Sr,1B,497,0.374,0.386,0.500,0.516,1.289
2015,"Follis, Tyler",North Dakota,D1,Sr,INF,349,0.430,0.424,0.447,0.440,1.288
2015,"Massey, Grant",Lipscomb,D1,Sr,INF,531,0.420,0.418,0.453,0.451,1.288
2015,"Havrilak, Joey",Akron,D1,Sr,OF,402,0.415,0.411,0.471,0.466,1.288
2015,"Paul, Chris",California,D1,Sr,INF,307,0.378,0.393,0.480,0.500,1.287
2015,"Friend, Jordan",Alabama A&M,D1,Sr,INF,317,0.401,0.383,0.545,0.520,1.286
2015,"Staton, Allen",North Greenville,D2,Sr,INF,333,0.456,0.376,0.649,0.535,1.286
2015,"Mountford, Jordan",Bryant,D1,Sr,OF,365,0.400,0.391,0.514,0.503,1.285
2015,"Jenner, Jesse",San Diego,D1,Sr,C,365,0.414,0.422,0.431,0.440,1.285
2015,"Allen, Trever",Arizona St.,D1,Sr,OF,405,0.378,0.392,0.482,0.500,1.284
2015,"Mendick, Danny",UMass Lowell,D1,Sr,SS,365,0.411,0.409,0.467,0.464,1.282
2015,"Urbania, Adam",Slippery Rock,D2,Sr,OF,378,0.474,0.392,0.603,0.499,1.282
2015,"Brodbeck, Andrew",Flagler,D2,Sr,INF,444,0.475,0.401,0.567,0.479,1.282
2015,"Carr, Kevin",Southeastern La.,D1,Sr,INF,337,0.421,0.424,0.433,0.435,1.282
2015,"Falcone, Joey",Columbia,D1,Sr,OF,267,0.375,0.375,0.530,0.531,1.281
2015,"Romanin, Mattingly",Chicago St.,D1,Sr,INF,478,0.423,0.418,0.449,0.444,1.281
2015,"Newell, Cameron",UC Santa Barbara,D1,Sr,OF,416,0.416,0.426,0.420,0.430,1.281
2015,"Tubbs, Tucker",Memphis,D1,Sr,INF,462,0.383,0.388,0.499,0.505,1.280
2015,"Harris, Matt",St. John's (NY),D1,Sr,1B,450,0.411,0.411,0.460,0.459,1.280
2015,"Valach, Brant",Eastern Ill.,D1,Sr,INF,360,0.397,0.392,0.503,0.496,1.280
2015,"Dick, Corey",UNCW,D1,Sr,INF,391,0.407,0.404,0.472,0.469,1.278
2015,"Czarnecki, Kevin",Fort Hays St.,D2,Sr,INF,369,0.458,0.374,0.648,0.529,1.278
2015,"Hazel, Steve",Georgia College,D2,Sr,C,432,0.465,0.390,0.596,0.499,1.278
2015,"Ramsay, Matthew",Wofford,D1,Sr,C,423,0.437,0.422,0.449,0.434,1.278
2015,"Dini, Nick",Wagner,D1,Sr,INF,436,0.413,0.403,0.483,0.471,1.277
2015,"Smith, Isaac",Bradley,D1,Sr,OF,373,0.416,0.423,0.423,0.430,1.277
2015,"Crutcher, Austin",Bellarmine,D2,Sr,INF,401,0.429,0.358,0.671,0.560,1.277
2015,"Novak, Aaron",Penn St.,D1,Sr,OF,263,0.407,0.415,0.437,0.445,1.275
2015,"Guinn, Parker",SIUE,D1,Sr,C,168,0.369,0.365,0.552,0.545,1.275
2015,"Zavala, Seby",San Diego St.,D1,Sr,OF,533,0.398,0.403,0.463,0.469,1.275
2015,"Donnels, Tanner",Loyola Marymount,D1,Sr,OF,478,0.400,0.404,0.461,0.466,1.274
2015,"Becker, Dylan",Missouri St.,D1,Sr,INF,504,0.413,0.425,0.410,0.423,1.273
2015,"Lauricella, Zach",St. John's (NY),D1,Sr,OF,439,0.408,0.407,0.459,0.458,1.273
2015,"Hayes, Jacob",Indiana St.,D1,Sr,INF,475,0.392,0.398,0.467,0.475,1.272
2015,"Pierce, Mikole",Wis.-Whitewater,D3,Sr,INF,437,0.510,0.378,0.693,0.514,1.271
2015,"Kalbfleisch, Eric",UNC Greensboro,D1,Sr,OF,346,0.399,0.389,0.505,0.493,1.271
2015,"Vandercook, David",Columbia,D1,Sr,INF,370,0.392,0.392,0.486,0.486,1.271
2015,"Hoover, Wesley",Central Ark.,D1,Sr,OF,361,0.424,0.430,0.406,0.412,1.271
2015,"Ware, Tyler",A&M-Corpus Chris,D1,Sr,OF,467,0.418,0.419,0.431,0.432,1.270
2015,"Bryant, Hunter",UNC Asheville,D1,Sr,INF,477,0.405,0.397,0.483,0.474,1.269
2015,"Spencer, Robby",Morehead St.,D1,Sr,INF,525,0.411,0.393,0.505,0.482,1.268
2015,"Ostrich, Taylor",Old Dominion,D1,Sr,OF,510,0.412,0.420,0.420,0.428,1.267
2015,"Rea, Wes",Mississippi St.,D1,Sr,1B,441,0.404,0.419,0.412,0.428,1.267
2015,"Cooper, Ryan",Elon,D1,Sr,OF,462,0.411,0.404,0.468,0.459,1.267
2015,"White, Devin",William & Mary,D1,Sr,C,288,0.420,0.410,0.457,0.446,1.266
2015,"Baur, Albert",Newberry,D2,Sr,INF,475,0.451,0.373,0.626,0.519,1.265
2015,"VanMeetren, Erik",UNLV,D1,Sr,C,481,0.420,0.418,0.432,0.429,1.264
2015,"McClanahan, Jerry",UC Irvine,D1,Sr,C,478,0.425,0.448,0.348,0.367,1.264
2015,"Zehner, Zack",Cal Poly,D1,Sr,OF,423,0.366,0.382,0.479,0.499,1.263
2015,"Fletcher, Casey",Illinois,D1,Sr,OF,438,0.411,0.415,0.429,0.433,1.263
2015,"Machin, Vimael",VCU,D1,Sr,INF,503,0.419,0.417,0.432,0.429,1.263
2015,"Hatcher, Tyler",Central Okla.,D2,Sr,OF,186,0.435,0.356,0.671,0.548,1.260
2015,"Clow, Andrew",Mt. St. Mary's,D1,Sr,C,328,0.412,0.397,0.483,0.466,1.259
2015,"Garza, Robert",Texas Southern,D1,Sr,INF,363,0.416,0.393,0.500,0.472,1.259
2015,"Smith, Zach",Erskine,D2,Sr,INF,233,0.442,0.357,0.674,0.544,1.258
2015,"Sullivan, Tyler",Pacific,D1,Sr,OF,474,0.399,0.410,0.426,0.438,1.258
2015,"Newell, Nick",Morehead St.,D1,Sr,OF,420,0.388,0.370,0.540,0.516,1.257
2015,"Sanchez, Matthew",UMass Lowell,D1,Sr,INF,351,0.419,0.417,0.426,0.424,1.257
2015,"Hsieh, Eric",Yale,D1,Sr,P,309,0.450,0.447,0.367,0.364,1.257
2015,"Thomas, Justin",Rider,D1,Sr,3B,423,0.402,0.397,0.466,0.461,1.256
2015,"Green, Gage",Oklahoma St.,D1,Sr,C,527,0.400,0.414,0.413,0.427,1.255
2015,"Painter, Colby",Lander,D2,Sr,INF,453,0.453,0.383,0.578,0.489,1.254
2015,"Caldwell, Elliott",South Carolina,D1,Sr,OF,368,0.397,0.413,0.410,0.427,1.253
2015,"McKay, Connor",Kansas,D1,Sr,OF,490,0.361,0.374,0.489,0.506,1.253
2015,"Ohmstede, Chris",Furman,D1,Sr,3B,523,0.380,0.370,0.525,0.511,1.252
2015,"Peters, Matt",California (PA),D2,Sr,INF,317,0.457,0.379,0.594,0.492,1.251
2015,"Rients, Patrick",Southwest Minn. St.,D2,Sr,OF,412,0.432,0.352,0.672,0.547,1.251
