name,team,cl,go_fo
"Bane, Garrett",Emporia St.,Sr,3.846
"Fast, Colton",Augustana (SD),Sr,3.818
"Farleigh, Nick",William Jewell,Sr,3.535
"Scudiero, Francesco",Bloomfield,Sr,3.522
"Oglesby, Ryan",Slippery Rock,Sr,3.000
"Beauchamp, Jacob",North Georgia,Sr,2.943
"Howard, Jackson",Spring Hill,Sr,2.813
"Murphy, Chris",Millersville,Sr,2.729
"Camp, Wesley",Newberry,Sr,2.500
"Batchelor, Zach",Post,Sr,2.483
"Cromer, Cole",Newberry,Sr,2.447
"Shelton, Lance",Ga. Southwestern,Sr,2.400
"Johnson, Nick",Southeastern Okla.,Sr,2.360
"Lequire, Tyler",Pfeiffer,Sr,2.341
"Dohlen, Micah",Missouri S&T,Sr,2.333
"Gappa, Cody",Cal St. Monterey Bay,Sr,2.250
"Gottardy, Kyle",Tarleton St.,Sr,2.225
"Conkle, Kyle",North Ala.,Sr,2.103
"Gercken, Nate",Academy of Art,Sr,2.065
"McCarthy, Connor",LIU Post,Sr,2.054
"Mendek, Bill",Lynn,Sr,2.053
"Badalucco, Anthony",N.M. Highlands,Sr,2.044
"Hall, Cam",Salem Int'l,Sr,2.044
"Crumley, Luke",Erskine,Sr,2.044
"Cook, Gabe",Fort Hays St.,Sr,2.026
"Pratt, Jesse",Western Ore.,Sr,2.022
"Merlo, Drew",Fresno Pacific,Sr,1.918
"Muller, Brady",Mont. St. Billings,Sr,1.902
"Rakkar, Barinder",Concord,Sr,1.886
"Horan, Neal",Stonehill,Sr,1.886
"Raia III, Dominic",Chestnut Hill,Sr,1.863
"Bass, Blake",Angelo St.,Sr,1.862
"Jacobs, Craig",Nyack,Sr,1.841
"Soto, Victor",Colorado St.-Pueblo,Sr,1.837
"Pope, Michael",Cal St. East Bay,Sr,1.818
"Humes, Robert",Caldwell,Sr,1.783
"Ezell, Jake",Columbus St.,Sr,1.761
"Gonzalez, Jeremy",Tex. A&M Int'l,Sr,1.760
"Hatch, Aaron",Winston-Salem,Sr,1.759
"Faulconer, Austin",Drury,Sr,1.741
"Bozman, Nick",Urbana,Sr,1.730
"Shambaugh, Kyle",Northeastern St.,Sr,1.730
"Shepard, Matthew",Rogers St.,Sr,1.700
"Lawson, Dustin",Lee,Sr,1.682
"Martinez, Peter",Dominican (NY),Sr,1.667
"Campeau, Jake",Mont. St. Billings,Sr,1.667
"Gibson, Tyler",West Tex. A&M,Sr,1.662
"Sexton, Jamie",West Ga.,Sr,1.649
"Rainwater, Walker",Okla. Panhandle,Sr,1.644
"Rivera, Ricky",Central Mo.,Sr,1.642
"Blazier, Chase",Winona St.,Sr,1.638
"Smith, Aaron",Neb.-Kearney,Sr,1.605
"Bidwell, Ryan",Ohio Dominican,Sr,1.585
"Born, Banks",Mo. Western St.,Sr,1.578
"Tarter, Preston",San Fran. St.,Sr,1.574
"Ojeda, Henry",Sioux Falls,Sr,1.568
"Egan, Pat",Southern Conn. St.,Sr,1.564
"LaRosa, Zack",Assumption,Sr,1.563
"Gore, Rob",Wilmington (DE),Sr,1.550
"Thompson, Russell Tyler",West Virginia St.,Sr,1.534
"Gresch, Zach",Notre Dame (OH),Sr,1.526
"Burnidge, Luke",Drury,Sr,1.519
"McGuire, Colben",Northwest Nazarene,Sr,1.513
"Sparkman, Chase",Tampa,Sr,1.513
"Gibson, David",Southern N.H.,Sr,1.500
"Harper, Ryan",Saint Rose,Sr,1.500
"Kurokawa, Jordan",Hawaii Hilo,Sr,1.491
"Bomenblit, Eric",Caldwell,Sr,1.488
"Taylor, Justin",California (PA),Sr,1.463
"Fowler, Jack",Felician,Sr,1.460
"Johns, Cody",Northern St.,Sr,1.448
"Ashburn, Micah",Holy Names,Sr,1.444
"Spitzfaden, Will",Lindenwood (MO),Sr,1.432
"Anthony, Jake",Georgia College,Sr,1.419
"Samluk, Frank",Wilmington (DE),Sr,1.417
"Martin, Alex",King (TN),Sr,1.415
"O'Sullivan, Liam",Saint Leo,Sr,1.412
"Reneau, Kelby",Okla. Christian,Sr,1.409
"Yocom, Quinton",Carson-Newman,Sr,1.406
"Richards, Trevor",Drury,Sr,1.404
"Milligan, Drew",Delta St.,Sr,1.404
"Scott, Trevor",UC San Diego,Sr,1.400
"Davis, Ethan",Southwestern Okla.,Sr,1.395
"Reno, Ryan",Colorado Mesa,Sr,1.383
"Ragan, Nick",Wayne St. (NE),Sr,1.375
"Vreeland, Justin",Claflin,Sr,1.373
"Cooper, Justin",Young Harris,Sr,1.369
"Zimmerman, Kyle",Wayne St. (MI),Sr,1.364
"Rimer, Kolby",Colorado St.-Pueblo,Sr,1.362
"Stallings, Nick",West Chester,Sr,1.362
"Shaftner, Logan",Carson-Newman,Sr,1.362
"Brothers, Eric",Sioux Falls,Sr,1.357
"Jones, Cody",Henderson St.,Sr,1.356
"Disbro, Justin",West Tex. A&M,Sr,1.349
"Wright, Ben",Southern Ind.,Sr,1.348
"Klein, Jon",Mercyhurst,Sr,1.340
"Frederickson, Cody",Newman,Sr,1.339
"Ford, Anthony",Claflin,Sr,1.333
"Harper, Jake",St. Joseph's (IN),Sr,1.333
"Thill, Mike",Metro St.,Sr,1.316
