name,team,cl,go_fo
"Anderson, Jack",Penn St.,Jr,4.571
"Moseley, Ryan",Texas Tech,So,4.154
"Freeman, Michael",Oklahoma St.,Sr,4.025
"Wertz, Dan",Sacred Heart,Sr,3.542
"Vaka, Matt",North Florida,Fr,3.444
"Thome, Andrew",North Dakota,Sr,3.362
"Dennis, Will",Seattle,Jr,3.104
"Richman, Jason",Ga. Southern,Jr,3.065
"Koerner, Brody",Clemson,Jr,3.000
"Brown, Preston",Mississippi St.,Jr,2.919
"Mitchell, Ross",Mississippi St.,Sr,2.909
"Holtmann, Bryant",Florida St.,Sr,2.886
"Selmer, Ryan",Maryland,Fr,2.818
"Bisacca, Alex",Sam Houston St.,Sr,2.811
"Strain, Connor",Evansville,Jr,2.789
"Peterson, David",Oregon,Fr,2.750
"Frati, Logan",Fairleigh Dickinson,Jr,2.640
"DeVries, Jacob",Air Force,So,2.605
"Davis, Evan",Marist,Sr,2.585
"Wolfe, Jacob",East Carolina,So,2.564
"Portland, Matt",Northwestern,Jr,2.540
"Susi, Brett",Central Conn. St.,Fr,2.528
"Kerr, Austin",Coastal Caro.,Sr,2.515
"Haan, Brett",Purdue,Sr,2.475
"Anderson, Tanner",Harvard,Sr,2.448
"Beckwith, Andrew",Coastal Caro.,So,2.436
"Froom, Ryan",South Dakota St.,So,2.436
"Lucchesi, Joey",Southeast Mo. St.,Jr,2.426
"Dunning, Dane",Florida,So,2.419
"Lawler, Lee",Towson,Jr,2.405
"Murphy, Jimmy",Fordham,Jr,2.389
"Burnette, Travis",Longwood,Jr,2.389
"Angelle, Chase",Lamar,Sr,2.387
"Nimmo, Garrett",Bakersfield,So,2.387
"Taccolini, Dominic",Arkansas,So,2.372
"Danton, Matt",A&M-Corpus Chris,Sr,2.361
"Kelzer, Jake",Indiana,So,2.357
"Houck, Tanner",Missouri,Fr,2.350
"Berg, David",UCLA,Sr,2.343
"Repavich, Jake",Grand Canyon,Fr,2.333
"Monaghan, Trent",Air Force,Jr,2.321
"Taylor, Corey",Texas Tech,Sr,2.316
"Maier, Bill",Iona,So,2.299
"Troutt, Tyler",Middle Tenn.,Jr,2.286
"Johnson, Drasen",Illinois,Sr,2.286
"Muhammad, Yahya",Coppin St.,Sr,2.268
"Ledford, Alex",Samford,Sr,2.262
"Vance, Ross",West Virginia,Jr,2.250
"Vanderslice, Pat",Saint Joseph's,So,2.239
"Seyler, Mark",San Diego St.,Jr,2.238
"Solter, Matt",Furman,Sr,2.235
"Mulholland, Casey",South Fla.,Sr,2.222
"Charles, Jeremy",Hartford,Jr,2.219
"Moreland, Jacob",Texas-Arlington,Jr,2.205
"Manuppelli, Zac",USC Upstate,So,2.200
"Hamlin, Cody",Arizona,Jr,2.200
"Cobb, Trey",Oklahoma St.,So,2.200
"Wallace, Mike",Fairfield,Jr,2.188
"Milhorn, Greg",La.-Lafayette,Sr,2.176
"Clancy, Tyler",Louisiana Tech,Jr,2.172
"Naile, James",UAB,Jr,2.171
"Boyd, Jimmy",East Carolina,Jr,2.158
"Neumann, Ben",Northern Ill.,Sr,2.153
"Luna, Alex",UAB,Sr,2.146
"Buettgen, Noah",Dayton,Sr,2.140
"Talley, Christian",Southern Miss.,Sr,2.135
"Tate, Dillon",UC Santa Barbara,Jr,2.130
"Damron, Ty",Texas Tech,So,2.128
"Sorenson, Sam",Navy,Jr,2.125
"Edwards, Jayme",Lehigh,Sr,2.114
"King, Garett",Nebraska,Fr,2.108
"Kent, Matt",Texas A&M,Jr,2.106
"Abbott, Cory",Loyola Marymount,Fr,2.091
"Castano, Daniel",Baylor,So,2.086
"Sheller, Walker",Stetson,So,2.082
"Brewster, LJ",Hawaii,Jr,2.061
"Brown, Zack",Kentucky,So,2.048
"Waddell, Brandon",Virginia,Jr,2.043
"Clowers, Shawn",Liberty,Sr,2.043
"Hough, Bryson",Bucknell,Sr,2.037
"Graham, Josh",Oregon,Jr,2.028
"Lieske, Johnny",UAB,Sr,2.017
"Andreychik, Andrew",Bucknell,Jr,2.000
"De Leon, Lane",Delaware St.,Fr,2.000
"Galbraith, Laetten",Louisiana Tech,Sr,2.000
"Friedrichs, Kyle",Long Beach St.,Sr,1.983
"Cordy, Max",UC Davis,Jr,1.977
"Wilson, Jamal",Jackson St.,So,1.974
"Borkovich, Walter",Michigan St.,So,1.974
"McClain, Reggie",Missouri,Jr,1.970
"Cedotal, Kyle",Southeastern La.,Jr,1.969
"Camacho, Joseph",Alabama St.,Jr,1.962
"Headean, Will",Illinois St.,Jr,1.952
"Lyons, Jared",Liberty,Sr,1.952
"Jones, Connor",Virginia,So,1.942
"Moore, AJ",Kennesaw St.,N/A,1.941
"York, Johnny",St. Mary's (CA),So,1.931
"Gibbs, Emerson",Tulane,Jr,1.930
"Castellani, Mike",Bucknell,So,1.930
"Fernandez, Danny",Lamar,Sr,1.918
