year,player_name,team_name,class_year,position,p_gs,ip,so,bb,outs,adj_so9,adj_bb9,index
2015,"Brown, Danny",Flagler,Sr,INF,12,100.1,93,13,301,8.05,0.99,14.21
2015,"Chapman, Matt",Newberry,Sr,P,1,35.1,43,7,106,9.72,1.03,13.61
2015,"Smith, Aaron",Neb.-Kearney,Sr,P,7,60.2,56,7,182,7.74,1.03,12.89
2015,"Johns, Cody",Northern St.,Sr,P,13,70.2,53,5,212,5.66,0.00,12.51
2015,"Taylor, Justin",California (PA),Sr,P,9,52.0,51,8,156,7.63,1.05,11.18
2015,"Camp, Wesley",Newberry,Sr,P,36,83.0,77,12,249,7.78,1.03,10.93
2015,"Groves, Kory",Cal St. Monterey Bay,Sr,P,1,43.2,44,7,131,8.55,1.05,10.92
2015,"Talkington, Shawn",Emporia St.,Sr,P,5,60.1,63,11,181,8.78,1.03,10.90
2015,"Burgess, Tyler",Mo. Southern St.,Sr,P,10,68.2,82,16,206,9.70,2.06,10.44
2015,"Brooks, Craig",Catawba,Sr,P,59,97.0,153,33,291,13.69,3.07,10.40
2015,"Endecott, Dillon",Okla. Christian,Sr,P,13,69.0,69,12,207,8.59,1.05,10.04
2015,"Carnavale, Joe",Merrimack,Sr,P,9,61.2,60,10,185,7.61,1.05,10.01
2015,"Klein, Jon",Mercyhurst,Sr,P,11,68.1,85,17,205,10.71,2.05,9.56
2015,"Stevens, Alex",West Florida,Sr,P,5,34.2,26,4,104,5.88,1.02,9.39
2015,"Kines, Gunner",Mount Olive,Sr,P,14,96.2,121,24,290,10.68,2.06,9.37
2015,"Capistran, Joey",Colorado Mesa,Sr,P,0,35.1,38,7,106,8.49,1.06,9.33
2015,"Peterson, Jordan",St. Joseph's (IN),Sr,P,10,63.2,72,13,191,9.44,1.06,9.26
2015,"Mould, Luke",Ala.-Huntsville,Sr,P,0,38.0,38,7,114,8.58,1.05,8.96
2015,"Sparkman, Chase",Tampa,Sr,P,16,94.1,71,12,283,5.98,1.00,8.90
2015,"Black, Ben",S.C. Aiken,Sr,P,6,43.2,41,8,131,7.93,1.01,8.65
2015,"Schneider, Kyle",Slippery Rock,Sr,P,10,56.1,54,10,169,7.71,1.04,8.52
2015,"Reno, Ryan",Colorado Mesa,Sr,P,15,91.1,64,9,274,5.66,0.00,8.50
2015,"McGill, Dylan",Wayne St. (NE),Sr,P,14,59.0,71,14,177,9.49,2.11,8.25
2015,"Cromer, Cole",Newberry,Sr,P,12,75.1,52,8,226,5.83,0.00,8.24
