year,player_name,team_name,class_year,position,pa,adj_obp,slg,adj_slg,index
2014,"Brugnoni, Giancarlo",Grand Valley St,Sr,Infield,213,0.514,0.786,0.754,1.782
2014,"Delerme, Nico",East Stroudsburg,Sr,Catcher,164,0.546,0.635,0.611,1.703
2014,"Wilson, Phillip",Central Okla,Sr,Pitcher,224,0.488,0.733,0.690,1.665
2014,"Kaiser, Austin",Colorado Mesa,Sr,Outfield,251,0.472,0.767,0.699,1.643
2014,"Reitano, Bradon",Mount Olive,Sr,Shortstop,232,0.469,0.681,0.656,1.595
2014,"Knott, Chris",East Stroudsburg,Sr,Outfield,181,0.473,0.667,0.642,1.588
2014,"Grady, Patrick",Lander,Sr,Outfield,303,0.499,0.610,0.588,1.586
2014,"Howell, Nick",Trevecca Nazarene,Sr,Outfield,256,0.457,0.711,0.666,1.580
2014,"Robinson, Cody",Northeastern St,Sr,Outfield,204,0.423,0.771,0.732,1.579
2014,"Whitten, Fran",Saint Leo,Sr,Pitcher,192,0.459,0.669,0.655,1.573
2014,"Lunde, Erik",Lander,Sr,Infield,315,0.471,0.643,0.620,1.562
2014,"Rients, Patrick",Southwest Minn. St,Sr,Infield,195,0.399,0.804,0.763,1.562
2014,"Viger, Tony",Augustana (SD),Sr,Infield,243,0.440,0.688,0.656,1.535
2014,"Fulmer, Will",Montevallo,Sr,Infield,273,0.518,0.512,0.496,1.531
2014,"Wilson, Michael",Francis Marion,Sr,Infield,229,0.451,0.644,0.622,1.525
2014,"Lewis, Connor",Lander,Sr,Infield,310,0.444,0.655,0.631,1.520
2014,"Todoschuk, Steven",McKendree,Sr,,206,0.464,0.616,0.589,1.518
2014,"Campbell, Jacob",Albany St. (GA),Sr,Outfield,201,0.474,0.619,0.561,1.508
2014,"Leister, Jordan",Colorado Mesa,Sr,First Base,161,0.453,0.659,0.601,1.506
2014,"Giardina, Sal",Lynn,Sr,Third Base,209,0.479,0.563,0.547,1.505
2014,"Albano, Ben",Lewis,Sr,Outfield,195,0.447,0.639,0.612,1.505
2014,"Miller, Joey",Concord,Sr,First Base,201,0.417,0.724,0.667,1.502
2014,"Thimesch, Nick",Drury,Sr,Outfield,246,0.486,0.558,0.530,1.502
2014,"Coker, Josh",Lincoln Memorial,Sr,Pitcher,176,0.414,0.708,0.671,1.499
2014,"Koenig, Wes",St. Edward's,Sr,First Base,227,0.455,0.627,0.589,1.499
2014,"Olson, Stetson",Minn. St. Mankato,Sr,Infield,247,0.460,0.609,0.577,1.498
2014,"Gonzalez, Jay",Mount Olive,Sr,Outfield,249,0.488,0.537,0.518,1.493
2014,"Morrow, Jack",Young Harris,Sr,Catcher,240,0.440,0.632,0.606,1.485
2014,"Winter, Kye",Augustana (SD),Sr,Pitcher,214,0.472,0.565,0.539,1.483
2014,"La Face, Nick",UC San Diego,Sr,Catcher,246,0.475,0.539,0.524,1.473
2014,"Wilson, Brad",Central Mo,Sr,Outfield,213,0.461,0.574,0.543,1.465
2014,"Kengor, Will",Slippery Rock,Sr,Infield,196,0.459,0.563,0.545,1.464
2014,"Walls, Derrick",Tex. A&M-Kingsville,Sr,Infield,256,0.501,0.462,0.459,1.462
2014,"Buckley, Brendon",New Haven,Sr,Third Base,158,0.462,0.550,0.529,1.453
2014,"Kaido, Wade",Ashland,Sr,Third Base,181,0.474,0.535,0.504,1.453
2014,"Stringer, Blake",Okla. Christian,Sr,First Base,220,0.429,0.620,0.591,1.450
