year,player_name,team_name,class_year,position,pa,adj_obp,slg,adj_slg,index
2014,"Gayday, Kristian",IPFW,Sr,Infield,211,0.465,0.653,0.641,1.571
2014,"Nardone, Aaron",Delaware St,Sr,Outfield,209,0.495,0.612,0.565,1.554
2014,"Tellor, Matt",Southeast Mo. St,Sr,First Base,265,0.449,0.657,0.641,1.540
2014,"Epperson, Joey",UC Santa Barbara,Sr,Outfield,239,0.504,0.508,0.527,1.535
2014,"Raffield, Chase",Georgia St,Sr,Outfield,239,0.440,0.654,0.643,1.524
2014,"Wilson, Nic",Georgia St,Sr,Infield,243,0.421,0.683,0.672,1.514
2014,"Swatek, Tim",Fordham,Sr,Pitcher,223,0.485,0.548,0.539,1.509
2014,"Miles, Daniel",Tennessee Tech,Sr,Third Base,284,0.460,0.599,0.571,1.491
2014,"Schaub, Scott",Jacksonville,Sr,Infield,201,0.494,0.500,0.502,1.490
2014,"Brandt, Forrest",Davidson,Sr,Outfield,220,0.443,0.626,0.604,1.490
2014,"DeMuth, Dustin",Indiana,Sr,Infield,241,0.465,0.531,0.546,1.475
2014,"Azar, Anthony",Sam Houston St,Sr,Catcher,270,0.459,0.543,0.551,1.469
2014,"Alexander, Mike",Delaware St,Sr,Pitcher,188,0.462,0.575,0.531,1.454
2014,"Payton, Mark",Texas,Sr,Outfield,304,0.489,0.444,0.475,1.452
2014,"Robinson, Bennie",Florida A&M,Sr,Infield,249,0.462,0.545,0.527,1.452
2014,"Howe, Alex",Tex.-Pan American,Sr,Outfield,246,0.452,0.544,0.545,1.450
2014,"Ziznewski, John",LIU Brooklyn,Sr,Shortstop,222,0.432,0.589,0.583,1.447
2014,"Thomasson, Brandon",Tennessee Tech,Sr,Outfield,269,0.379,0.721,0.688,1.446
2014,"Longo, Lee",Eastern Mich,Sr,Infield,226,0.452,0.545,0.540,1.443
2014,"Rosencrance, Joel",St. Bonaventure,Sr,Pitcher,171,0.446,0.563,0.550,1.441
2014,"Tendler, Luke",N.C. A&T,Sr,Outfield,206,0.459,0.539,0.521,1.440
2014,"Solberg, Ryan",Milwaukee,Sr,First Base,214,0.441,0.573,0.557,1.439
2014,"Luppens, Jimmy",Canisius,Sr,First Base,238,0.477,0.500,0.485,1.439
2014,"Gibson, Derek",Southeast Mo. St,Sr,Infield,244,0.436,0.571,0.557,1.429
2014,"Olesczuk, Tj",Winthrop,Sr,Outfield,195,0.435,0.556,0.555,1.425
2014,"Twichell, John Michael",Texas-Arlington,Sr,Infield,205,0.459,0.494,0.506,1.424
2014,"Shortall, Matt",Texas-Arlington,Sr,Outfield,281,0.412,0.586,0.600,1.423
2014,"Bumpers, Sam",Lamar,Sr,Infield,256,0.432,0.548,0.557,1.421
2014,"Freeman, Clinton",East Tenn. St,Sr,Infield,249,0.409,0.620,0.601,1.419
2014,"Grayson, Casey",Houston,Sr,First Base,296,0.463,0.469,0.491,1.417
2014,"Smith, Austen",Alabama,Sr,Infield,230,0.456,0.484,0.503,1.415
2014,"Wolfe, Brian",Washington,Sr,Outfield,199,0.448,0.494,0.518,1.414
2014,"Satzinger, Wes",North Dakota St,Sr,Infield,194,0.451,0.515,0.506,1.409
2014,"Kivett, Ross",Kansas St,Sr,Infield,253,0.464,0.462,0.480,1.408
2014,"Gordon, Griff",Jacksonville St,Sr,Outfield,298,0.446,0.521,0.513,1.406
2014,"Lee, Alexander",Radford,Sr,Infield,242,0.465,0.482,0.475,1.405
2014,"Cawley Lamb, Payden",Gonzaga,Sr,Outfield,199,0.464,0.459,0.471,1.399
2014,"McBroom, Ryan",West Virginia,Sr,First Base,238,0.433,0.512,0.533,1.399
2014,"Kirsch, Adam",Texas Tech,Sr,Outfield,261,0.412,0.560,0.573,1.397
2014,"Harris, Chase",New Mexico,Sr,Outfield,274,0.426,0.559,0.544,1.396
