year,player_name,team_name,class_year,position,p_gs,p_ip,p_so,p_bb,outs,adj_so9,adj_bb9,index
2014,"Hvozdovic, Paul",Shepherd,Sr,Pitcher,14,90,100,8,270,9.19,0.00,18.87
2014,"Heissler, Jake",Central Mo,Sr,Pitcher,7,38.1,40,4,115,8.69,0.00,17.72
2014,"Hoppe, Jason",Minn. St. Mankato,Sr,Pitcher,15,104.2,113,17,314,8.57,1.05,12.92
2014,"Bartlett, Dan",Caldwell,Sr,Pitcher,7,51.2,54,7,155,8.28,1.09,12.73
2014,"Reese, David",Mo. Southern St,Sr,Pitcher,11,70.2,74,12,212,8.62,1.04,11.15
2014,"Carter, Nate",Fla. Southern,Sr,Pitcher,0,34,31,5,102,8.01,1.00,11.05
2014,"Asmus, George",Sonoma St,Sr,Pitcher,12,72,55,7,216,5.68,0.00,10.50
2014,"Badamo, Tyler",Dowling,Sr,Pitcher,13,108.1,129,22,325,9.31,1.07,10.46
2014,"Conley, Jeffrey",Alderson Broaddus,Sr,Pitcher,11,78,89,15,234,9.38,1.07,10.01
2014,"Simmons, Scott",Tusculum,Sr,Pitcher,1,33.1,27,4,100,6.70,1.05,9.64
2014,"Buerosse, Mitchell",Nova Southeastern,Sr,Pitcher,7,46,44,8,138,7.88,1.02,9.40
2014,"DePorte, Joel",McMurry,Sr,Pitcher,15,105.1,65,8,316,4.73,0.00,8.81
2014,"Simone, Pat",New Haven,Sr,Pitcher,9,63,36,4,189,4.68,0.00,8.69
2014,"Sweeney, Kevin",Drury,Sr,Pitcher,13,84.1,55,7,253,4.69,0.00,8.51
2014,"Shimo, Brandon",Kutztown,Sr,Pitcher,10,60.1,52,9,181,6.65,1.05,8.18
2014,"Bader, Ethan",Armstrong,Sr,Pitcher,15,114.2,121,26,344,9.02,1.99,8.13
2014,"Bammann, Tom",Dowling,Sr,Pitcher,11,88,74,12,264,6.52,1.07,7.59
2014,"Little, Olen",Wingate,Sr,Pitcher,13,90.2,68,13,272,5.91,1.02,7.51
2014,"Vaughn, Stephen",Wingate,Sr,Pitcher,8,67.2,58,12,203,6.89,1.02,7.42
2014,"Chapman, Clay",Fla. Southern,Sr,Pitcher,13,86.1,85,19,259,8.01,1.00,7.07
2014,"Ward, Davis",Ouachita Baptist,Sr,Pitcher,14,110.2,87,16,332,6.80,1.03,7.02
2014,"Light, Aussie",Ky. Wesleyan,Sr,Pitcher,10,63.2,80,16,191,10.18,2.16,6.75
2014,"James, Dylan",West Tex. A&M,Sr,Pitcher,15,98,126,29,294,10.76,2.04,6.69
2014,"McCombs, Curtis",Bellarmine,Sr,Pitcher,11,71.2,57,11,215,6.56,1.07,5.83
2014,"Williams, Cody",Tex. A&M-Kingsville,Sr,Pitcher,3,60.2,43,9,182,5.93,1.01,5.60
2014,"Mickens, Zak",Newman,Sr,Pitcher,13,88,84,17,264,7.55,1.06,5.55
2014,"Eiland, Drew",Ala.-Huntsville,Sr,Pitcher,13,103.1,54,10,310,3.89,0.00,5.38
2014,"McKaskle, Dakota",Emporia St,Sr,Pitcher,15,89.1,57,11,268,4.86,1.03,5.21
2014,"Bellin, Bryce",Minn. St. Mankato,Sr,First Base,13,89,74,15,267,6.67,1.05,5.20
2014,"Cooperman, Casey",Bloomsburg,Sr,Pitcher,12,86,48,9,258,4.79,0.00,4.97
2014,"Paluch, Kendall",Lewis,Sr,Pitcher,12,68.2,35,6,206,3.78,0.00,4.87
2014,"Calby, Ryan",Dominican (NY),Sr,Pitcher,9,66,80,17,198,9.24,2.16,4.68
2014,"Easterling, Brannon",St. Edward's,Sr,Pitcher,16,114.1,108,23,343,7.50,1.07,4.24
2014,"Winter, Kye",Augustana (SD),Sr,Pitcher,11,64,61,14,192,7.59,1.05,3.70
2014,"Pierce, Brandon",Okla. Christian,Sr,Pitcher,13,80.2,83,18,242,8.37,2.15,3.63
2014,"Younker, Derek",Pitt.-Johnstown,Sr,Pitcher,12,78,28,5,234,2.87,0.00,3.40
2014,"Vaughn, Aaron",Northwest Nazarene,Sr,Pitcher,11,84,76,18,252,7.68,1.04,3.27
2014,"Becker, Sean",Cal St. East Bay,Sr,Pitcher,13,94,42,9,282,3.84,0.00,3.17
2014,"Baker, Nick",Chico St,Sr,Pitcher,16,110,64,14,330,4.80,1.04,2.96
2014,"Rudnik, Josh",Young Harris,Sr,Pitcher,6,35.1,18,4,106,3.99,1.00,2.93
2014,"Davis, Zach",Central Mo,Sr,Pitcher,0,41,51,13,123,10.62,2.07,2.87
