year,player_name,team_name,class_year,position,pa,adj_obp,slg,adj_slg,index
2014,"Fairbanks, Tom",Wis.-Superior,Sr,Outfield,157,0.497,0.932,0.876,1.869
2014,"Peterson, Tyler",St. Thomas (MN),Sr,First Base,151,0.510,0.803,0.763,1.783
2014,"Barzilli, Julian",Whittier,Sr,Third Base,174,0.459,0.851,0.772,1.689
2014,"Cefalu, Cole",Wis.-La Crosse,Sr,Outfield,184,0.495,0.724,0.687,1.678
2014,"Steel, Billy",Chris. Newport,Sr,Infield,190,0.483,0.745,0.683,1.648
2014,"Kuzniar, Tim",St. Thomas (MN),Sr,Outfield,201,0.501,0.663,0.630,1.632
2014,"Schepel, Matt",Calvin,Sr,Infield,175,0.493,0.659,0.599,1.585
2014,"Smith, John Macon",Guilford,Sr,Outfield,175,0.481,0.689,0.611,1.573
2014,"Friend, Dylan",Wis.-Whitewater,Sr,Outfield,232,0.483,0.620,0.584,1.549
2014,"Podobinski, Ben",St. Thomas (MN),Sr,Outfield,221,0.486,0.600,0.570,1.542
2014,"Maus, Sam",St. Olaf,Sr,Infield,164,0.465,0.657,0.611,1.541
2014,"Riverso, Michael",Widener,Sr,Outfield,201,0.510,0.560,0.512,1.532
2014,"Hicks, Casey",Gallaudet,Sr,Catcher,179,0.459,0.697,0.609,1.528
2014,"Gold, Tad",Endicott,Sr,Outfield,208,0.466,0.625,0.588,1.521
2014,"Rush, Brad",St. John Fisher,Sr,First Base,169,0.480,0.600,0.553,1.512
2014,"Mancine, Jarrod",Wooster,Sr,Outfield,203,0.481,0.604,0.551,1.512
2014,"Rushing, Robbie",Central (IA),Sr,Infield,185,0.438,0.681,0.634,1.509
2014,"Stefanski, Mitch",Adrian,Sr,Infield,192,0.457,0.636,0.588,1.503
2014,"Wallace, Corey",Guilford,Sr,Infield,176,0.423,0.736,0.652,1.498
2014,"Moquette, Jamill",UMass Boston,Sr,Infield,182,0.474,0.563,0.528,1.477
2014,"Saatzer, Mark",Chapman,Sr,Infield,191,0.453,0.613,0.558,1.464
2014,"Tewksbury, Griff",Bates,Sr,Infield,164,0.452,0.579,0.557,1.460
2014,"Martinez, Ej",Endicott,Sr,Infield,159,0.456,0.576,0.542,1.454
2014,"Chadwick, Forrest",Southern Me,Sr,Outfield,218,0.425,0.631,0.596,1.446
2014,"Wenzel, Brad",York (PA),Sr,First Base,193,0.431,0.634,0.579,1.440
2014,"Roedner, Alex",Fontbonne,Sr,Infield,173,0.443,0.614,0.553,1.439
2014,"Mauro, Brian",DeSales,Sr,First Base,166,0.460,0.577,0.513,1.433
2014,"Riscica, Ricky",Keystone,Sr,Infield,150,0.467,0.543,0.494,1.429
2014,"Fischer, Sam",Adrian,Sr,Outfield,208,0.440,0.594,0.549,1.429
2014,"Bergmann, Edward",Farmingdale St,Sr,Outfield,150,0.468,0.532,0.485,1.422
2014,"Petersen, Jake",Cal Lutheran,Sr,Pitcher,180,0.450,0.579,0.521,1.421
2014,"Fon, Jared",Wis.-Whitewater,Sr,Infield,185,0.427,0.594,0.559,1.414
2014,"Mendez, Joe",St. Joseph's (Brkln),Sr,Outfield,154,0.393,0.734,0.625,1.410
2014,"Lauer, Chet",John Carroll,Sr,Catcher,179,0.426,0.596,0.555,1.407
2014,"Griffith, Quinn",Salisbury,Sr,Infield,208,0.471,0.494,0.457,1.399
2014,"Flemister, Nick",St. John Fisher,Sr,Catcher,172,0.423,0.599,0.552,1.398
2014,"Cahill, Brett",Salem St,Sr,Catcher,179,0.472,0.483,0.453,1.396
2014,"Foster, Dylan",Husson,Sr,Outfield,177,0.460,0.523,0.474,1.395
2014,"Spagna, Jimmy",John Carroll,Sr,Pitcher,184,0.405,0.628,0.584,1.393
2014,"Radack, Collin",Hendrix,Sr,Outfield,208,0.441,0.549,0.509,1.392
2014,"Reese, Eddie",Wooster,Sr,Infield,175,0.406,0.634,0.578,1.391
2014,"Fisher, Nick",Linfield,Sr,Infield,213,0.409,0.597,0.571,1.389
2014,"Hurlimann, Dan",Brockport,Sr,Infield,164,0.427,0.564,0.533,1.387
2014,"Stewart, Grant",Augustana (IL),Sr,Infield,183,0.428,0.585,0.527,1.382
2014,"Dean, Nick",Maryville (TN),Sr,Pitcher,163,0.434,0.563,0.511,1.380
2014,"Stoulp, Taylor",Webster,Sr,Infield,195,0.433,0.563,0.512,1.379
2014,"Carabajal, Andrew",Chapman,Sr,Outfield,202,0.442,0.544,0.495,1.379
2014,"Pezzone, Mike",Allegheny,Sr,Infield,168,0.407,0.608,0.562,1.377
2014,"Hannon, Brandon",Emory,Sr,Outfield,238,0.481,0.434,0.414,1.376
2014,"Windler, Scott",Franklin,Sr,Outfield,204,0.426,0.589,0.522,1.373
2014,"Czarnowski, Bobby",Ill. Wesleyan,Sr,Outfield,199,0.416,0.576,0.536,1.369
2014,"Briggs, Andy",Luther,Sr,Outfield,170,0.448,0.504,0.469,1.366
2014,"Mullin, Ryan",Benedictine (IL),Sr,Infield,185,0.448,0.503,0.468,1.364
2014,"Rapacz, Josh",George Fox,Sr,Catcher,162,0.452,0.486,0.457,1.362
2014,"Dolan, Keegan",Wash. & Lee,Sr,Outfield,150,0.370,0.681,0.619,1.358
2014,"Paletta, Joe",Buena Vista,Sr,Infield,194,0.447,0.503,0.464,1.358
2014,"Carlson, Mark",Dallas,Sr,Infield,165,0.422,0.560,0.514,1.358
2014,"Gonzalez, Michael",Wis.-Whitewater,Sr,Catcher,233,0.428,0.532,0.501,1.357
