year,player_name,team_name,class_year,position,pa,adj_obp,slg,adj_slg,index
2013,"Wuest, Brian",Neb.-Kearney,Sr,Outfield,196,0.496,0.815,0.755,1.747
2013,"Weber, David",Benedict,Sr,First Base,152,0.538,0.674,0.580,1.655
2013,"Petty, Kyle",California (PA),Sr,Catcher,205,0.471,0.674,0.644,1.586
2013,"Sumner, Kale",Hawaii Pacific,Sr,Infield,218,0.492,0.614,0.583,1.568
2013,"Moseby, Lydell",Benedict,Sr,Catcher,163,0.438,0.785,0.675,1.551
2013,"Fink, Grant",Mo. Western St,Sr,Infield,214,0.433,0.706,0.674,1.540
2013,"Laurienzo, Jay",Flagler,Sr,Outfield,174,0.482,0.589,0.575,1.539
2013,"Stone, Zach",Millersville,Sr,Third Base,241,0.494,0.569,0.546,1.533
2013,"Matusik, Jason",Lynn,Sr,First Base,194,0.452,0.649,0.618,1.522
2013,"Borchardt, David",Augustana (SD),Sr,Pitcher,150,0.454,0.642,0.607,1.516
2013,"Dotson, Bubba",Mo. Western St,Sr,Outfield,236,0.441,0.662,0.632,1.515
2013,"Esquerra, Luke",California Baptist,Sr,Outfield,195,0.463,0.607,0.582,1.508
2013,"Nelson, Jacob",Metro St,Sr,Pitcher,164,0.431,0.711,0.645,1.507
2013,"Harris, David",Southern Ark,Sr,Shortstop,248,0.423,0.679,0.660,1.506
2013,"Taylor, Adam",North Greenville,Sr,Outfield,208,0.466,0.597,0.573,1.505
2013,"Scott, Cameron",Columbus St,Sr,Second Base,239,0.461,0.598,0.583,1.504
2013,"Thomas, Ivory",Cal St. Dom. Hills,Sr,Second Base,172,0.502,0.511,0.490,1.493
2013,"Guenther, Brad",Wayne St. (MI),Sr,Catcher,211,0.470,0.574,0.553,1.493
2013,"Sani, Kyle",Central Wash,Sr,Catcher,224,0.404,0.724,0.683,1.491
2013,"Suitca, Bob",Malone,Sr,Third Base,189,0.487,0.538,0.516,1.490
2013,"Creamer, Peter",Eastern N.M,Sr,Catcher,172,0.478,0.558,0.528,1.485
2013,"Cima, Michael",Seton Hill,Sr,Catcher,197,0.445,0.636,0.593,1.482
2013,"Campbell, Marvin",Hawaii Pacific,Sr,Outfield,216,0.444,0.621,0.590,1.478
2013,"Zdanowicz, Zac",Henderson St,Sr,Outfield,165,0.474,0.539,0.527,1.476
2013,"Escalante, Geno",Mount Olive,Sr,Catcher,221,0.438,0.625,0.593,1.469
2013,"Murphy, Chad",Shepherd,Sr,Catcher,195,0.447,0.623,0.572,1.467
2013,"Henrichs, Mikey",Upper Iowa,Sr,Catcher,163,0.468,0.571,0.531,1.466
2013,"Abreu, Cesar",Arkansas Tech,Sr,Infield,210,0.493,0.494,0.478,1.464
2013,"May, Jeff",Lander,Sr,Catcher,189,0.430,0.631,0.603,1.463
2013,"Polanco, Ariel",Saint Augustine's,Sr,Infield,162,0.436,0.651,0.589,1.460
2013,"Moses, Taed",Saint Leo,Sr,Third Base,196,0.453,0.576,0.550,1.457
