year,player_name,team_name,class_year,position,pa,adj_obp,slg,adj_slg,index
2013,"Mauro, Brian",DeSales,Sr,Catcher,179,0.519,0.772,0.696,1.734
2013,"Rogers, Zach",Cornell College,Sr,Third Base,156,0.494,0.794,0.704,1.692
2013,"Hardy, Matthew",Immaculata,Sr,Infield,151,0.514,0.704,0.643,1.671
2013,"Bierfeldt, Connor",Western Conn. St,Sr,Outfield,168,0.477,0.776,0.715,1.669
2013,"Meadows, Wes",Otterbein,Sr,Third Base,179,0.489,0.748,0.683,1.662
2013,"Kachel, Robert",Wis.-Oshkosh,Sr,Outfield,159,0.462,0.780,0.708,1.632
2013,"Cunningham, Mike",Suffolk,Sr,First Base,171,0.481,0.725,0.663,1.625
2013,"White, Tucker",Southern Me,Sr,Outfield,263,0.479,0.688,0.647,1.605
2013,"Kucher, Chris",Babson,Sr,Infield,178,0.480,0.676,0.641,1.601
2013,"Boggan, Nick",Cal Lutheran,Sr,Infield,205,0.447,0.742,0.680,1.575
2013,"Stutts, Jonathan",Wash. & Lee,Sr,Shortstop,165,0.452,0.671,0.618,1.522
2013,"Franz, Carter",St. Lawrence,Sr,Outfield,151,0.435,0.680,0.639,1.509
2013,"Toughey, Brendan",Baldwin Wallace,Sr,Outfield,189,0.464,0.615,0.573,1.501
2013,"Zilnicki, David",Farmingdale St,Sr,Outfield,154,0.501,0.541,0.491,1.492
2013,"Barksdale, Tommy",Gallaudet,Sr,Shortstop,168,0.455,0.654,0.582,1.492
2013,"Williams, Timothy",George Fox,Sr,Outfield,162,0.449,0.619,0.592,1.490
2013,"Smith, Shawn",Husson,Sr,Outfield,172,0.444,0.651,0.592,1.481
2013,"Berdine, Nick",Waynesburg,Sr,Outfield,154,0.436,0.652,0.600,1.473
2013,"Gerber, Sean",Wis.-Stevens Point,Sr,Infield,253,0.435,0.637,0.599,1.469
2013,"Marchant, Corey",Manchester,Sr,Infield,226,0.467,0.580,0.527,1.460
2013,"Stein, Nick",Coe,Sr,Outfield,162,0.435,0.625,0.588,1.458
2013,"Clemmenson, Kyle",Denison,Sr,Infield,182,0.453,0.589,0.545,1.451
2013,"Papa, Joe",Trinity (CT),Sr,Infield,154,0.461,0.559,0.522,1.444
2013,"Perkins, Wes",Millsaps,Sr,Catcher,246,0.442,0.601,0.558,1.442
