year,player_name,team_name,class_year,position,pa,adj_obp,slg,adj_slg,index
2013,"Huck, Ryan",Western Ky,Sr,Infield,236,0.479,0.694,0.700,1.657
2013,"Katz, Mason",LSU,Sr,First Base,289,0.489,0.642,0.667,1.645
2013,"Tauchman, Mike",Bradley,Sr,Outfield,223,0.524,0.591,0.596,1.644
2013,"Dantzler, LB",South Carolina,Sr,Infield,263,0.471,0.617,0.647,1.589
2013,"Deitrich, Ryan",Penn,Sr,Outfield,178,0.499,0.563,0.562,1.560
2013,"Ferdinand, Nick",Delaware,Sr,Outfield,243,0.440,0.690,0.677,1.557
2013,"Brown, Kevin",Bryant,Sr,Outfield,282,0.502,0.552,0.550,1.553
2013,"Cooper, Garrett",Auburn,Sr,Infield,236,0.497,0.540,0.556,1.550
2013,"Roberts, Colby",James Madison,Sr,Outfield,151,0.462,0.629,0.626,1.550
2013,"McAlpine, Duncan",Dallas Baptist,Sr,Catcher,259,0.444,0.662,0.662,1.549
2013,"Bass, Michael",UNCW,Sr,Infield,260,0.488,0.560,0.564,1.540
2013,"Stubbs, Cody",North Carolina,Sr,First Base,324,0.473,0.574,0.594,1.539
2013,"Durdaller, Christiaan",Samford,Sr,Outfield,230,0.448,0.649,0.631,1.528
2013,"Dickinson, Rob",VMI,Sr,Outfield,225,0.467,0.596,0.591,1.524
2013,"Freeman, Kelvin",N.C. A&T,Sr,First Base,227,0.433,0.663,0.652,1.518
2013,"Parr, Justin",Illinois,Sr,Infield,255,0.464,0.576,0.588,1.516
2013,"Lecount, Robert",New Mexico St,Sr,Infield,235,0.445,0.647,0.620,1.510
2013,"Pierce, Logan",Troy,Sr,Infield,290,0.465,0.570,0.565,1.496
2013,"Keele, Ryan",Omaha,Sr,Outfield,183,0.467,0.571,0.561,1.495
2013,"Kemp, Jeff",Radford,Sr,Infield,194,0.453,0.588,0.587,1.493
2013,"Garver, Mitch",New Mexico,Sr,Catcher,280,0.456,0.589,0.578,1.490
2013,"Allday, Forrestt",Central Ark,Sr,Outfield,301,0.509,0.472,0.472,1.490
2013,"Orf, Nathan",Baylor,Sr,Designated Hitter,253,0.492,0.470,0.492,1.477
2013,"Wolfe, Christian",UNC Greensboro,Sr,Outfield,228,0.456,0.579,0.562,1.474
2013,"Roberts, George",Kent St,Sr,Infield,205,0.484,0.503,0.504,1.471
2013,"Campbell, Luke",New Mexico,Sr,Outfield,224,0.443,0.595,0.584,1.470
2013,"White, Tyler",Western Caro,Sr,Infield,280,0.415,0.661,0.640,1.470
2013,"Black, Alex",Columbia,Sr,Infield,206,0.464,0.524,0.527,1.454
2013,"Healy, Tom",Mt. St. Mary's,Sr,Outfield,176,0.431,0.608,0.591,1.452
2013,"Foster, Brooklyn",Canisius,Sr,Catcher,156,0.472,0.520,0.504,1.449
2013,"Fish, Mike",Siena,Sr,Outfield,254,0.421,0.602,0.601,1.443
