year,player_name,team_name,class_year,position,pa,adj_obp,slg,adj_slg,index
2015,"Uhl, Ryan",Indiana (PA),Sr,OF,180,0.513,1.085,1.032,2.057
2015,"Sell, Nick",Seton Hill,Sr,INF,223,0.503,1.032,0.973,1.980
2015,"Eads, Taylor",Spring Hill,Sr,OF,164,0.568,0.846,0.758,1.895
2015,"Tice, Dylan",West Chester,Sr,INF,188,0.524,0.827,0.792,1.841
2015,"Cuthrell, Collins",UNC Pembroke,Sr,3B,245,0.493,0.904,0.853,1.838
2015,"Rainey, Tanner",West Ala.,Sr,INF,209,0.493,0.842,0.834,1.819
2015,"Wilson, Matt",Shepherd,Sr,OF,207,0.523,0.779,0.728,1.774
2015,"Baur, Albert",Newberry,Sr,INF,243,0.486,0.796,0.753,1.726
2015,"Simbeck, Colton",Ala.-Huntsville,Sr,OF,151,0.435,0.894,0.852,1.723
2015,"Rubino, Matt",Francis Marion,Sr,C,215,0.498,0.713,0.682,1.679
2015,"Young, Kamran",Cal St. Dom. Hills,Sr,OF,225,0.496,0.697,0.671,1.664
2015,"Urbania, Adam",Slippery Rock,Sr,OF,199,0.479,0.736,0.695,1.654
2015,"Tracy, Chandler",Saint Martin's,Sr,C,196,0.481,0.717,0.690,1.652
2015,"Long, Dean",Emporia St.,Sr,INF,247,0.436,0.794,0.750,1.622
2015,"Peters, Matt",California (PA),Sr,INF,180,0.489,0.675,0.639,1.618
2015,"Czarnecki, Kevin",Fort Hays St.,Sr,INF,198,0.462,0.737,0.688,1.611
2015,"Castleberry, Patrick",Arkansas Tech,Sr,C,209,0.468,0.699,0.676,1.611
2015,"Mock, Austin",Indiana (PA),Sr,INF,184,0.445,0.756,0.719,1.608
2015,"Lawing, Weston",Lander,Sr,OF,169,0.486,0.650,0.628,1.599
2015,"Montville, Mike",Southern N.H.,Sr,OF,165,0.495,0.625,0.600,1.590
2015,"Spitz, Thomas",Wingate,Sr,OF,279,0.452,0.705,0.673,1.576
2015,"Brock, Chandler",Ala.-Huntsville,Sr,OF,207,0.474,0.649,0.618,1.567
2015,"Wolfe, Spencer",Shepherd,Sr,C,193,0.450,0.708,0.661,1.561
2015,"Dezzi, Stephen",Tampa,Sr,OF,199,0.464,0.652,0.627,1.556
2015,"Tewes, Luke",Drury,Sr,INF,239,0.466,0.643,0.623,1.556
2015,"Spini, Nick",East Central,Sr,OF,153,0.490,0.600,0.576,1.555
2015,"Jurgella, Mike",St. Cloud St.,Sr,C,239,0.454,0.690,0.646,1.554
2015,"Haskins, Matthew",Montevallo,Sr,OF,224,0.494,0.588,0.561,1.550
2015,"Brodbeck, Andrew",Flagler,Sr,INF,223,0.493,0.582,0.561,1.548
2015,"Stubbs, Austin",Southwest Minn. St.,Sr,1B,206,0.424,0.746,0.694,1.542
2015,"Rothermich, Wade",Lindenwood (MO),Sr,P,222,0.452,0.660,0.636,1.540
2015,"Waletich, Max",Minn. St. Mankato,Sr,INF,187,0.463,0.656,0.611,1.537
2015,"James, Stephen",Ashland,Sr,2B,244,0.439,0.693,0.657,1.536
2015,"Sandlin, Jake",Georgia College,Sr,INF,250,0.432,0.701,0.670,1.535
