year,player_name,team_name,class_year,position,p_gs,p_ip,p_so,p_bb,outs,adj_so9,adj_bb9,index
2014,"Kalish, Jake",George Mason,Sr,Pitcher,5,35.2,37,4,107,8.86,1.02,17.42
2014,"McCurry, Brendan",Oklahoma St,Sr,Infield,0,47.1,54,8,142,10.24,0.98,16.05
2014,"Speer, David",Columbia,Sr,Pitcher,12,87,75,7,261,6.97,0.00,15.85
2014,"Anderson, Eric",Missouri,Sr,Pitcher,8,43.2,46,7,131,9.25,0.97,15.14
2014,"White, Cameron",Air Force,Sr,Pitcher,16,104.2,94,11,314,7.98,0.00,14.92
2014,"Marsh, Matt",Liberty,Sr,Pitcher,0,39,51,9,117,10.93,2.01,14.63
2014,"Ford, Tyler",Houston,Sr,Pitcher,0,69,49,5,207,6.13,0.00,13.55
2014,"Wellbrock, Chase",Houston,Sr,Pitcher,0,46.1,37,5,139,7.16,0.00,12.66
2014,"Batts, Mat",UNCW,Sr,Pitcher,15,103.2,105,18,311,9.07,0.99,12.33
2014,"Williams, Ryan",East Carolina,Sr,Pitcher,0,99.2,76,11,299,6.04,0.00,11.19
2014,"Curtis, Zac",Middle Tenn,Sr,Pitcher,15,114,136,29,342,10.06,1.99,10.30
2014,"Varner, Seth",Miami (OH),Sr,Pitcher,15,104.1,123,25,313,10.03,1.99,10.18
2014,"Mayberry, Whit",Virginia,Sr,Pitcher,1,56.1,59,12,169,9.19,0.98,9.98
2014,"Rice, Logan",East Tenn. St,Sr,Pitcher,4,60.2,46,7,182,5.99,1.00,9.96
2014,"Gold, Jeff",Oregon,Sr,Pitcher,16,99.1,61,8,298,5.12,0.00,9.56
2014,"Gero, Brad",Old Dominion,Sr,Pitcher,0,53.1,44,8,160,7.07,0.99,9.33
2014,"Prevost, Josh",Seton Hall,Sr,Pitcher,15,116.1,111,20,349,7.80,1.03,8.97
2014,"Farris, James",Arizona,Sr,Pitcher,15,113.2,100,19,341,7.17,0.98,8.89
2014,"Stinnett, Jake",Maryland,Sr,Pitcher,16,118,132,30,354,10.13,1.97,8.68
2014,"Duncan, Frank",Kansas,Sr,Pitcher,16,118.2,82,14,356,6.13,0.98,8.58
2014,"Hildenberger, Trevor",California,Sr,Pitcher,0,47.2,48,11,143,9.30,1.94,8.54
2014,"Morales, Andrew",UC Irvine,Sr,Pitcher,19,135.2,141,33,407,9.28,1.94,8.53
2014,"Montefusco, Anthony",George Mason,Sr,Pitcher,16,106.2,82,14,320,5.91,1.02,8.52
2014,"Carter, Jordan",Saint Joseph's,Sr,Pitcher,14,95.2,81,14,287,6.88,1.02,8.39
2014,"Scott, Alan",Sam Houston St,Sr,Pitcher,0,46,36,7,138,7.06,0.99,8.28
2014,"Danielczyk, Jon",Pittsburgh,Sr,Pitcher,0,51.2,45,9,155,7.01,1.00,8.07
2014,"Tessar, Brando",Oregon,Sr,Pitcher,10,50.2,43,9,152,7.17,0.98,7.90
2014,"Fagan, Michael",Princeton,Sr,Pitcher,9,58,77,18,174,10.92,2.02,7.53
2014,"McClain, Matt",Delaware St,Sr,Pitcher,12,88.1,58,8,265,4.68,0.00,7.38
2014,"Folk, Cory",Buffalo,Sr,Pitcher,0,39,35,7,117,7.87,1.02,7.34
2014,"Connell, James",Kennesaw St,Sr,Pitcher,0,47,66,16,141,12.00,3.00,6.98
2014,"Kerski, Kody",Sacred Heart,Sr,Pitcher,13,85.2,74,15,257,6.79,1.03,6.84
2014,"Dignacco, Nick",Army,Sr,Pitcher,13,80.2,79,17,242,7.73,1.04,6.48
2014,"Graff, Ben",San Francisco,Sr,Pitcher,1,33.2,33,8,101,8.18,1.96,6.02
2014,"Lewicki, Artie",Virginia,Sr,Pitcher,9,68.2,57,13,206,7.15,0.98,5.81
2014,"Franco, Mike",FIU,Sr,Pitcher,15,99,112,27,297,9.95,2.01,5.76
2014,"Kaminska, Pat",Central Mich,Sr,Pitcher,14,94.2,70,14,284,5.93,1.01,5.61
2014,"Yarbrough, Ryan",Old Dominion,Sr,Pitcher,14,86,64,15,258,6.06,0.99,5.33
2014,"Smith, Gage",Florida St,Sr,Pitcher,0,64,31,6,192,4.05,0.00,5.27
2014,"Durapau, Montana",Bethune-Cookman,Sr,Pitcher,16,117.1,103,23,352,6.87,1.02,5.24
2014,"Lee, Turner",UAB,Sr,Pitcher,0,41.1,34,8,124,7.00,1.00,4.99
2014,"Mallard, Chase",UAB,Sr,Pitcher,15,110,94,22,330,7.00,1.00,4.99
2014,"Elam, Cale",Wichita St,Sr,Pitcher,13,89,71,17,267,7.14,0.98,4.77
2014,"Morris, Jesse",Wofford,Sr,Pitcher,11,84,84,21,252,8.94,2.01,4.69
2014,"Meurer, Matt",Villanova,Sr,Pitcher,0,44.2,32,7,134,5.93,1.01,4.63
2014,"Ramirez, Mikey",Ark.-Pine Bluff,Sr,Pitcher,13,87.2,40,7,263,3.89,0.00,4.47
2014,"Maltese, Shay",CSUN,Sr,Pitcher,0,40.2,44,12,122,9.22,1.95,4.32
2014,"Woods, James",Radford,Sr,Pitcher,0,38.1,48,12,115,10.87,2.02,4.25
2014,"Milon, Colin",George Washington,Sr,Pitcher,0,33.2,23,5,101,5.84,1.03,4.19
2014,"Fussell, T.J",Western Caro,Sr,Pitcher,5,64.1,81,21,193,11.03,1.99,4.18
2014,"Cooper, Matt",Hawaii,Sr,Pitcher,15,106.2,106,28,320,8.17,1.96,4.02
2014,"Chesney, Will",East Tenn. St,Sr,Pitcher,0,43.1,30,7,130,5.99,1.00,3.96
2014,"Hibberd, Houston",San Francisco,Sr,Pitcher,1,41.1,34,9,124,7.15,0.98,3.89
2014,"Lamont, Karl",Mt. St. Mary's,Sr,Pitcher,11,55.1,39,9,166,5.80,1.03,3.88
2014,"Wade, Jay",Auburn,Sr,Pitcher,0,35.2,24,6,107,6.14,0.98,3.74
2014,"Barker, Brandon",Mercer,Sr,Pitcher,15,68,63,16,204,7.95,2.01,3.73
2014,"Ali, Dean",Old Dominion,Sr,Pitcher,0,60.1,67,18,181,9.08,1.98,3.51
2014,"Barnett, Andrew",Gardner-Webb,Sr,Pitcher,15,93,94,24,279,8.89,2.02,3.40
2014,"Van Orden, Drew",Duke,Sr,Pitcher,14,87.1,91,25,262,9.04,1.99,3.26
2014,"McNabb, Terry",N.C. Central,Sr,Pitcher,12,75.1,69,16,226,7.66,1.04,3.13
2014,"Kennel, Sean",Southeastern La,Sr,Pitcher,11,66.2,43,11,200,5.02,1.00,3.10
2014,"Sova, Bryan",Creighton,Sr,Pitcher,1,60.1,37,9,181,5.01,1.00,3.04
2014,"Carroll, Gunnar",Army,Sr,Pitcher,13,82,52,12,246,4.83,1.04,2.96
2014,"Salas, John",CSUN,Sr,Pitcher,9,51,33,9,153,5.12,0.98,2.77
2014,"Bobb, Abe",San Francisco,Sr,Pitcher,14,91.1,64,17,274,6.13,0.98,2.74
2014,"Ortman, Dillon",Auburn,Sr,Pitcher,15,100,62,16,300,5.11,0.98,2.67
2014,"Gotzon, Colin",Lehigh,Sr,Pitcher,11,57.2,62,16,173,8.56,2.10,2.33
2014,"Swatek, Tim",Fordham,Sr,Pitcher,11,60.1,43,11,181,5.87,1.02,2.21
2014,"Bray, Tyler",La.-Monroe,Sr,Pitcher,1,67,69,20,201,9.20,1.96,2.18
2014,"Hills, Dylan",Southeastern La,Sr,Pitcher,0,40.1,39,11,121,8.03,1.99,2.16
2014,"Crawford, Alec",Minnesota,Sr,Pitcher,15,97.1,67,18,292,6.01,1.00,2.04
