year,year_factor
2015,0.892
2014,0.871
2013,0.884
2012,0.915
2011,0.919
2010,1.084
2009,1.074
2008,1.039
2007,0.986
2006,0.980
2005,0.983
2004,0.991
2003,0.982
2002,1.009
2001,1.041
2000,1.063
1999,1.103
1998,1.126
1997,1.115
