team_name|team_id|year|player_name|player_id|class_year|season_year|position|games|ab|runs|hits|avg|doubles|triples|hr|total_bases|slg|rbi|sb|sba|bb|so|hbp|sac_hits|sac_flies|appearances|games_started|complete_games|wins|losses|saves|shutouts|ip|hits|runs|earned_runs|bb|so|era
Ripon|577|2013|Albrecht, Tom|1086867|Sr|2012-13|Pitcher||||||||||||||||||||||||||||||||
Ripon|577|2013|Bayreuther, Zach|1086795|Sr|2012-13|Infield|40|163|33|41|0.252|4|1|1|50|0.307|14|1||31|22|2|2|2||||||||||||||0.00
Ripon|577|2013|Blader, Steven|1086829|Sr|2012-13|Pitcher|12||||||||||||||||||12|9|2|4|3|1|1|61.2|63|36|28|24|34|4.09
Ripon|577|2013|Bosquez, Kyle|1086824|Sr|2012-13|Infield|40|173|46|58|0.335|16||6||0.532|22|1|3|11|12|5||5||||||||||||||0.00
Ripon|577|2013|Grambow, Adam|1086800|Sr|2012-13|Infield|40|163|36|58|0.356|8||6||0.515|36|||14|14|5|1|4||||||||||||||0.00
Ripon|577|2013|Hughes, Nick|1086818|Sr|2012-13|Catcher|26|72|14|14|0.194|3||||0.236|10|||15|18|1|1|2|1|||||||1.2|||||1|0.00
Ripon|577|2013|Knapp, Ken|1197313|Sr|2012-13|Pitcher|8||||||||||||||||||8|||1|1|||6.2|11|5|5||2|6.75
Ripon|577|2013|Koth, Taylor|1086833|Sr|2012-13|Outfield|40|157|34|60|0.382|9||1||0.459|24|4|7|23|9|3|2|2||||||||||||||0.00
Ripon|577|2013|Robbins, Mike|1086832|Sr|2012-13|Pitcher|7||||||||||||||||||7|4|||1|||19.2|29|15|14|9|7|6.41
Ripon|577|2013|Sackett, Eric|1086874|Sr|2012-13|Outfield|13|19|2|3|0.158|||||0.158|4|||3|10|||||||||||||||||0.00
Coppin St|165|2013|Hawk, Paul|1319938|Sr|2012-13|Pitcher|6|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|6|1|0|0|1|0|0|7|20|15|10|4|1|12.86
Coppin St|165|2013|Kashangaki, Chris|1094429|Sr|2012-13|Outfield|51|184|36|56|0.304|8|1|0|66|0.359|16|34|42|23|33|8|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0.00
Coppin St|165|2013|Kiessling, Andrew|1422236|Sr|2012-13|Pitcher||||||||||||||||||||||||||||||||
Buffalo|86|2013|Baldock, Alex|1094625|Sr|2012-13|Infield|51|186|34|52|0.280|16|4|3|85|0.457|33|0|0|17|34|6|5|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0.00
Buffalo|86|2013|Hughes, Kevin|1423943|Sr|2012-13|Pitcher||||||||||||||||||||||||||||||||
Buffalo|86|2013|Jiron, Jamie|1423944|Sr|2012-13|Catcher|7|7|2|0||0|0|0|0||2|1|1|2|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.00
Buffalo|86|2013|Kanzler, Jason|1094623|Sr|2012-13|Outfield|57|227|46|75|0.330|14|6|12|137|0.604|53|21|25|19|49|12|4|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0.00
Buffalo|86|2013|McWilliams, River|1423950|Sr|2012-13|Pitcher|37|18|2|3|0.167|1|0|0|4|0.222|3|1|1|4|2|0|0|0|27|0|0|3|5|12|0|57.1|58|25|21|17|41|3.30
Buffalo|86|2013|Mestas, Jon|1321957|Sr|2012-13|Infield|57|192|36|52|0.271|5|0|5|72|0.375|30|8|10|28|27|13|11|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0.00
Buffalo|86|2013|Pollock, Matt|1094629|Sr|2012-13|Outfield|3|9|1|2|0.222|0|0|0|2|0.222|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.00
Buffalo|86|2013|Stephens, Zach|1321956|Sr|2012-13|Pitcher|12|1|0|0||0|0|0|0||0|0|0|0|0|0|0|0|11|4|0|1|1|0|0|32.2|36|19|17|21|25|4.68
Buffalo|86|2013|Tulloch, Ryan|1094637|Sr|2012-13|Infield|29|90|12|23|0.256|5|1|0|30|0.333|12|0|1|6|28|6|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.00
Ga. Southern|253|2013|Davis, T.D|1322491|Sr|2012-13|Infield|59|222|48|64|0.288|16|0|13|119|0.536|48|4|4|31|60|2|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0.00
Ga. Southern|253|2013|Hess, Justin|1092441|Sr|2012-13|Pitcher|23|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|23|13|1|5|6|4|1|95|98|50|39|34|120|3.69
Ga. Southern|253|2013|Johnson, Drew|1212840|Sr|2012-13|Pitcher|20|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|20|0|0|1|0|0|0|28.2|27|18|18|8|18|5.65
Ga. Southern|253|2013|Myers, Chris|1092479|Sr|2012-13|Pitcher|32|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|32|0|0|1|2|0|0|37|46|22|20|15|25|4.86
Ga. Southern|253|2013|Owens, Arthur|1092439|Sr|2012-13|Outfield|36|97|9|24|0.247|5|0|0|29|0.299|12|1|2|11|18|4|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0.00
