year,player_name,team_name,class_year,position,p_gs,p_ip,p_so,p_bb,outs,adj_so9,adj_bb9,index
2013,"Cotton, Chris",LSU,Sr,Pitcher,0,46.2,47,3,140,9.20,0.00,22.70
2013,"Nelson, Ben",Navy,Sr,Pitcher,6,41.2,45,4,125,8.72,0.00,19.85
2013,"Brookshire, Chase",Belmont,Sr,Pitcher,11,71,82,12,213,10.01,1.00,16.02
2013,"Appel, Mark",Stanford,Sr,Pitcher,14,106.1,130,23,319,11.34,0.97,15.57
2013,"Bevacqua, Kenton",Oklahoma St,Sr,Pitcher,9,37.2,32,4,113,7.07,0.00,13.31
2013,"Cimber, Adam",San Francisco,Sr,Pitcher,1,53,59,11,159,10.25,0.98,13.20
2013,"Westwood, Kyle",North Florida,Sr,Pitcher,9,62.1,71,12,187,9.97,1.00,12.86
2013,"Christensen, Pat",La Salle,Sr,Pitcher,2,50,58,10,150,9.83,1.02,12.14
2013,"Straka, John",North Dakota St,Sr,Pitcher,13,108,90,11,324,6.74,0.00,11.85
2013,"Girodo, Chad",Mississippi St,Sr,Pitcher,0,59.2,82,19,179,12.40,1.94,11.15
2013,"Zokan, Jake",Col. of Charleston,Sr,Pitcher,14,79,80,15,237,9.20,0.98,10.96
2013,"Frank, Trevor",UC Riverside,Sr,Pitcher,0,44,44,9,132,9.30,0.97,10.47
2013,"Prosinski, Jon",Seton Hall,Sr,Pitcher,15,108,82,13,324,6.00,1.00,10.02
2013,"Scribner, Troy",Sacred Heart,Sr,Pitcher,11,83.1,90,17,250,8.81,1.02,10.01
2013,"Belcher, Nolan",South Carolina,Sr,Pitcher,17,117,95,16,351,7.21,0.97,9.97
2013,"Webb, Tyler",South Carolina,Sr,Pitcher,0,43,60,14,129,12.36,1.94,9.93
2013,"Farrell, John",William & Mary,Sr,Pitcher,17,116.2,92,16,350,7.16,0.98,9.76
2013,"McClanahan, Caleb",Central Ark,Sr,Pitcher,17,122,80,12,366,5.05,0.00,9.23
2013,"Meyer, Jonathan",Clemson,Sr,Pitcher,3,46.2,37,7,140,7.23,0.97,9.10
2013,"Lee, Brandon",USC Upstate,Sr,Pitcher,14,104.1,80,13,313,5.97,1.01,8.84
2013,"Pegler, Matt",Col. of Charleston,Sr,Pitcher,14,87,70,13,261,7.15,0.98,8.74
2013,"Koehler, Brett",William & Mary,Sr,Pitcher,16,110.1,70,12,331,5.12,0.00,8.60
2013,"Yardley, Eric",Seattle,Sr,Pitcher,0,35.2,24,4,107,6.11,0.98,8.50
2013,"Webb, Kyle",Elon,Sr,Pitcher,16,104,97,21,312,8.23,0.97,8.22
2013,"Smith, Michael",Dallas Baptist,Sr,Pitcher,0,47.1,51,12,142,9.10,1.98,7.56
2013,"Mayers, Jacob",Richmond,Sr,Pitcher,6,55.2,41,7,167,5.88,1.02,7.41
2013,"Ruth, Eric",Winthrop,Sr,Pitcher,0,41.2,55,13,125,11.03,1.99,7.19
2013,"Brown, Jeremy",VMI,Sr,Pitcher,7,38.2,29,6,116,6.03,1.00,7.15
2013,"Lambert, Jake",Binghamton,Sr,Pitcher,16,101,84,16,303,6.83,1.02,7.14
2013,"McKinney, Brett",Ohio St,Sr,Pitcher,3,48.1,58,14,145,10.18,1.96,7.03
2013,"Dailey, Jordan",Bethune-Cookman,Sr,Pitcher,0,55.1,55,12,166,7.93,1.01,6.59
2013,"Bradstreet, Mike",Rhode Island,Sr,Pitcher,14,102.1,76,15,307,5.92,1.01,6.57
2013,"Wilkins, Ryan",North Carolina St,Sr,Pitcher,4,47,47,12,141,9.28,1.94,6.48
2013,"Hermans, Zak",Princeton,Sr,Pitcher,9,56.1,55,12,169,7.90,1.01,6.43
2013,"Shannahan, Erik",Missouri St,Sr,Pitcher,0,38.1,39,9,115,9.08,1.98,6.42
2013,"Westmoreland, Adam",South Carolina,Sr,Pitcher,0,66,62,15,198,8.24,1.94,6.32
2013,"Kelich, Peter",Bryant,Sr,Pitcher,15,97.2,89,19,293,7.86,1.02,6.27
2013,"Archer, Tristan",Tennessee Tech,Sr,Pitcher,15,97,97,23,291,8.92,2.02,5.59
2013,"Carlson, Ben",Furman,Sr,Pitcher,0,52.1,45,11,157,7.08,0.99,5.47
2013,"King, Brian",Ohio St,Sr,Pitcher,15,100.2,56,12,302,5.09,0.98,5.45
2013,"Hernandez, Matt",Houston,Sr,Pitcher,3,42,38,9,126,8.08,0.99,5.43
2013,"Holiday, Jesse",Southern U,Sr,Pitcher,12,81.2,72,15,245,6.72,1.04,5.43
2013,"McGreevy, Tj",Wichita St,Sr,Pitcher,0,47.1,32,7,142,6.08,0.99,5.42
